Download Labels,Descargar etiquetas
Required PayPal Settings,Configuración de PayPal requerida
Use Parallel Payments,Utilizar pagos paralelos
All customer payment will go to vendors accounts. Select Statement Usage as Invoice in dropship settings and generate/send it to invoice vendors commissions,Todos los pagos de los clientes irán a las cuentas de proveedores. Seleccione el uso de la declaración como factura en la configuración de dropship y genere / envíela a las comisiones de proveedores de facturas
Enable this Solution,Habilitar esta solución
Basic Settings - PayPal Adaptive Payments,Configuración básica - PayPal Adaptive Payments
"It is recommended to set this value to ""PayPal"" per store views.","Se recomienda establecer este valor en ""PayPal"" por vistas de tienda."
Sort Order,Tipo de ordenacion
Payment Action,Acción de pago
Advanced Settings,Configuración Avanzada
Payment Applicable From,Pago Aplicable Desde
Countries Payment Applicable From,Países Pago Aplicable Desde
Summary Text for Aggregated Cart,Texto de resumen para el carro agregado
Uses store frontend name by default.,Utiliza el nombre del complemento de almacenamiento de forma predeterminada.
Debug Mode,Modo de depuración
Enable SSL verification,Habilitar la verificación SSL
Paid amount of %s.,Cantidad pagada de%s.
Sale,Venta
Update Qty\'s,Actualizar Qty \ 's
Create Purchase Orders,Crear órdenes de compra
New Purchase Orders for Order #%s,Nuevos pedidos para el pedido #%s
Save Costs Update,Ahorre Costos Actualización
Edit Costs for Purchase Orders #%s,Editar costos para órdenes de compra #%s
Purchase Order #,"""Purchase Order #:"" Orden de Compra #"
Purchase Order Created,Orden de Compra Creado
Stock Vendor,Vendedor de acciones
Excel,{0}Excel{/0}{1} {/1}
PDF Purchase Orders,PDF Pedidos de Compra
Resend Vendor PO Notification,Reenviar notificación de pedido de proveedor
Delete POs and Notify Vendors,Eliminar pedidos y notificar a los proveedores
Information,Información
Order Information,Información pedido
Cannot get the order instance.,No se puede obtener la instancia del pedido.
Purchase Order View,Vista del pedido
Edit Costs,Editar costes
Create Shipment,Crear envío
Print,Imprimir
Purchase Order #%1$s | %2$s,Orden de compra #%1$s | %2$s
Purchase Orders,Ordenes de Compra
PO Subtotal,PO Subtotal
PO Total Cost,Costo total de PO
PO Tax Amount,Importe del impuesto de PO
PO Total Qty,Cantidad total de pedidos
Dropship Advanced PO Details Report,Dropship Advanced PO Detalles Informe
Dropship Advanced PO Item Details Report,Dropship Advanced PO Detalles del artículo
Date Created,Fecha de creacion
New Shipment for PO #%s [Order #%s],Nuevo envío para PO #%s [Orden #%s]
This purchase order no longer exists.,Esta orden de compra ya no existe.
Sales,Ventas
Shipments,Embarques
The po no longer exists.,El po ya no existe.
Cannot do shipment for the po.,No se puede hacer el envío para el po.
New Shipment,Nuevo envío
The shipment has been created.,Se ha creado el envío.
Shipment was succesfully invoiced,El envío se facturó correctamente
Shipment was not invoiced,El envío no se facturó
Cannot initialize shipment.,No se puede inicializar el envío.
Cannot save shipment.,No se puede guardar el envío.
This order no longer exists.,Esta orden ya no existe.
Cannot create PO with this qtys,No se puede crear PO con este qtys
Cannot update item quantity.,No se puede actualizar la cantidad del artículo.
PO was successfully deleted,El pedido se eliminó correctamente
Cannot delete PO.,No se puede eliminar el pedido.
New Purchase Order,Nueva Orden de Compra
View Purchase Order,Ver pedido
Created %s Purchase Orders,Creado%s Pedidos de compra
Cannot save po.,No se puede guardar po.
Canceled purchase order cannot be reverted,La orden de compra cancelada no se puede revertir
%s items were canceled,%S artículos fueron cancelados
There were no items to cancel that match requested condition,No hay elementos para cancelar ese partido.
Status cannot be changed to canceled because po still have processing items,El estado no se puede cambiar a cancelado porque po todavía tiene elementos de procesamiento
Po Status changed to canceled,Po Estado cambiado a cancelado
Cannot change status from %s to %s,No se puede cambiar el estado de%s a%s
Costs were successfully updated,Los costes se actualizaron correctamente.
%s POs deleted.,%S PO eliminadas.
Cannot save delete POs.,No se pueden guardar las órdenes de compra eliminadas.
Purchase order status has been changed,Se ha cambiado el estado del pedido
Cannot change purchase order status,No se puede cambiar el estado del pedido
No purchase orders found for these criteria,No se han encontrado pedidos de compra para estos criterios.
Purchase Order status has been updated for the selected orders,El estado del pedido de compra se ha actualizado para los pedidos seleccionados
%s printed purchase order pdf,%S orden de compra impresa pdf
Created %d shipments,Creación de%d envíos
Sent %d shipment customer notifications,Enviadas%d notificaciones de clientes de envío
Vendor specific custom text on the bottom of purchase order PDF,Texto personalizado específico del proveedor en la parte inferior de la orden de compra PDF
View Order Costs,Ver costes de pedido
View PO Costs,Ver los costos de la OP
Edit PO Costs,Editar costes de OP
Advanced PO Details,Detalles avanzados de la OP
Advanced PO Item Details,Advanced PO Detalles del artículo
Shipment Details,DETALLES DEL ENVÍO
Purchase Order Options,Opciones de órdenes de compra
Autoinvoice shipment,Envío de Autoinvoice
Auto-Invoice on these shipment statuses,Factura automática en estos estados de envío
Default PO Status,Estado del pedido predeterminado
Default Virtual PO Status,Predeterminado Virtual PO Status
PO Increment Type,Tipo de Incremento PO
Shipment Increment Type,Tipo de incremento de envío
Attach PO Pdf to Vendor Notification,Adjuntar PO Pdf a la Notificación del Vendedor
Make PO Ready to Ship on Printing PO PDF,Hacer PO listo para enviar en la impresión PO PDF
New PO Vendor Notification Template,Nueva plantilla de notificación de proveedores de PO
PO Comment Vendor Notification Template,PO Comentario Plantilla de notificación del proveedor
Allow change costs when manualy create po,Permitir los costos de cambio cuando manualmente crear po
Default custom text on the bottom of purchase order PDF,Texto personalizado por defecto en la parte inferior de la orden de compra PDF
Default Statement on following PO statuses,Declaración por defecto sobre los siguientes estados de pedido
Default Customer Shipment Status,Estado predeterminado de envío del cliente
Restrict PO statuses in vendor interface,Restringir estados de pedido en la interfaz del proveedor
Available PO statuses in vendor interface,Estatus de pedido disponibles en la interfaz de proveedor
Allowed forced PO status change,Permitió el cambio de estado del PO forzado
Hide shipping amount in po pdf,Ocultar la cantidad de envío en pdf
Vendor Shipment Comments Email Subject,Envío de proveedores Comentarios
Vendor Shipment Comments Template,Plantilla de comentarios de envío de proveedores
Vendor PO Comments Email Subject,Vendedor PO Comentarios Email Asunto
Vendor PO Comments Template,Plantilla de comentarios del proveedor
Hide vendors that failed stock check on admin area Create PO page,Ocultar proveedores que no han verificado las existencias en el área de administración
Cannot autoinvoice shipment # %s,No se puede enviar automáticamente el envío # s
Cannot autoinvoice shipment # %s: order payment method does not allow partial capture,No se puede enviar automáticamente el envío #%s: el método de pago del pedido no permite la captura parcial
Cannot autoinvoice shipment # %s: order payment method does not allow online capture,No se puede transferir automáticamente el envío #%s: el método de pago del pedido no permite la captura en línea
created invoice # %s for shipment # %s,Creó la factura #%s para el envío #%s
Autoinvoice Error for shipment # %s: %s,Error de envío automático para el envío #%s:%s
"Invalid qty to ship for item ""%s","Cantidad no válida para enviar para el elemento ""%s"
"Invalid qty to invoice for item ""%s","Cantidad inválida para facturar el elemento ""%s"
Shipment was not created due to label request error: %s,El envío no se creó debido al error de solicitud de etiqueta:%s
Shipment was deleted due to label request error: %s,El envío se eliminó debido al error de solicitud de etiqueta:%s
Shipment was canceled due to label request error: %s,El envío se canceló debido al error de solicitud de etiqueta:%s
[%s changed PO status from '%s' to '%s'],[%S cambió el estado del pedido de '%s' a '%s']
[PO status changed from '%s' to '%s'],[El estado del pedido cambió de '%s' a '%s']
%s tried to change PO status from '%s' to '%s,%S intentó cambiar el estado del pedido de '%s' a '%s
Create PO,Crear PO
ORDER WAS CANCELED,La orden fue cancelada
Grand Total,Importe total
Grand Totals,Totales generales
Extra Adjustments,Ajustes adicionales
"Invalid qty to create purchase order for item ""%s","Cantidad incorrecta para crear la orden de compra del elemento ""%s"
Purchase Order # %s: (%s)\n%s,Orden de compra #%s: (%s) \ n%s
Cannot create an empty purchase order.,No se puede crear una orden de compra vacía.
Partially Shipped,Parcialmente Enviado
Ready for stock PO,Listo para stock PO
Exported stock PO,Stock exportado PO
Received stock PO,Acciones recibidas PO
Magento Native,Magento Nativo
Order Based,Basado en Orden
Trigger whole order invoice,Disparar la factura de pedido entero
PO Based,Basado en los pedidos
* Email notification By Status,* Notificación de correo electrónico por estado
Unirgy_DropshipPo module does not support this version of magento,El módulo Unirgy_DropshipPo no admite esta versión de magento
Is Featured,Destacado
Change Is Featured,El cambio está destacado
My Sell List,Mi lista de venta
Sell Yours,Vende el tuyo
Relevance,Relevancia
There was an error while updating vendor(s) is featured,Se ha producido un error al actualizar los proveedores.
You already selling this item,Ya vendiste este artículo
The request to sell this product need to be approved by admin,La solicitud de venta de este producto debe ser aprobada por el administrador
Your sell request was succesfully submitted,Su solicitud de venta se envió correctamente
Empty sell request form data,Datos de formulario de solicitud de venta vacíos
All Offers,Todas las ofertas
Dropship Sell Yours,Dropship vende los tuyos
Sell Yours Form,Vender su formulario
Add Product Options Fields,Agregar campos de opciones de productos
Vendor Specific Fields,Campos específicos del proveedor
This customer username already exists.,Este nombre de usuario de cliente ya existe.
Account Type,Tipo de cuenta
Basic,Básico
Pro,Pro
Customer Ship Class Information,Información de la clase de buque del cliente
Class Name,Nombre de Clase
Countries,Región
Save Customer Ship Class,Guardar clase de buque de cliente
Delete Customer Ship Class,Eliminar clase de cliente de buque
Edit Customer Ship Class '%s,Editar clase de buque de cliente 's
New Customer Ship Class,Clase de buque de nuevo cliente
State/Region,Estado / Región
Zip/Post Code,Código postal
Customer Ship Classes,Clases de buques de clientes
Vendor Ship Class Information,Información sobre la clase de buque del proveedor
Save Vendor Ship Class,Guardar clase de buque proveedor
Delete Vendor Ship Class,Eliminar clase de proveedor de buques
Edit Vendor Ship Class '%s,Editar clase de proveedor de buques '%s
New Vendor Ship Class,Nueva Clase de Vendedor
Vendor Ship Classes,Clases de vendedores de buques
This class no longer exists,Esta clase ya no existe
"%s"" Customer Ship Class","%S ""Clase de buque de cliente"
Edit Class,Editar clase
New Class,nueva Clase
Edit Customer Ship Class,Editar clase de buque de cliente
The customer ship class has been saved.,Se ha guardado la clase de buque cliente.
An error occurred while saving this customer ship class.,Se ha producido un error al guardar esta clase de buque cliente.
The ship class has been deleted.,Se ha eliminado la clase de buque.
An error occurred while deleting this ship class.,Se ha producido un error al eliminar esta clase de buque.
"%s"" Vendor Ship Class","%S ""Clase de buque proveedor"
Edit Vendor Ship Class,Editar clase de proveedor de buques
The vendor ship class has been saved.,Se ha guardado la clase del proveedor.
An error occurred while saving this vendor ship class.,Se ha producido un error al guardar esta clase de proveedor.
Shipping Classes,Clases de envío
An error occurred while saving this ship class. A class with the same name already exists.,Se ha producido un error al guardar esta clase de buque. Ya existe una clase con el mismo nombre.
Customer Ship Class,Clase de buque de cliente
Vendor Ship Class,Clase de buque proveedor
* Other Vendor,* Otro vendedor
* Other Customer,* Otros clientes
Drop Shipping (Split Rates),Envío de la gota (tarifas diferenciadas)
Displayed Error Message,Mensaje de error mostrado
Hide vendor names on checkout,Ocultar los nombres de los vendedores al finalizar la compra
Hide items amounts and subtotal on shipping method page,Ocultar montos de artículos y subtotal en la página de método de envío
Check for external checkout usage,Compruebe el uso de la comprobación externa
Dispatch external checkout check events,Envío de eventos de comprobación de comprobación externa
"'Yes' will dispatch events that should do extra check of external checkout usage. <br>
                                Events: udsplit_check_is_external_checkout, udsplit_check_is_paypal_express, udsplit_check_is_google_checkout
                            ","Sí' enviará eventos que deberían hacer una comprobación adicional del uso de la comprobación externa. <br>
                                Eventos: udsplit_check_is_external_checkout, udsplit_check_is_paypal_express, udsplit_check_is_google_checkout"
Total,Total 
Rates Definition,Definición de tarifas
Commission fallback lookup method,Método de consulta de fallback de la Comisión
Rates,Valoraciones
Fixed Rates Calculation Type,Tipo de cálculo de tarifas fijas
Default Commission Percent,Porcentaje de comisión predeterminado
<br />Default value: %.2F. Leave empty to use default.,<br /> Valor por defecto:%.2F. Deje vacío para usar el valor predeterminado.
Fixed Flat Rate (per po) [old transaction fee],Tarifa plana fija (por po) [tarifa de transacción antigua]
Rule for Fixed Rates,Regla para tarifas fijas
Rule Based Fixed Rates,Tarifas fijas basadas en reglas
Tier Commission,Comisión de nivel
Parent category for tiered categories,Categoría principal para las categorías por niveles
Match Subcategories,Subcategorías del partido
"Product attribute code for ""Commission percent""","Código de atributo de producto para ""Porcentaje de comisión"""
Used to set per product commission percent (instead of tier commission percent),Se utiliza para establecer el porcentaje de comisión del producto (en lugar del porcentaje de comisión por niveles)
"Product attribute code for ""Tier Fixed Rate (per item)""","Código de atributo de producto para ""Tier Fixed Rate (por artículo)"""
Used to set per product fixed rate (instead of tier fixed rate),Se utiliza para establecer la tasa fija por producto (en lugar de la tasa fija de nivel)
Tiered Rates,Tiered Rates
Used for transaction fee calculation,Se utiliza para el cálculo de la tarifa de transacción
Tier Commissions,Comisiones de Nivel
Item Price,Precio del artículo
* Use Global Config,* Utilizar configuración global
Vendor First,Vendedor Primero
Tier First,Nivel primero
Flat (per po),Piso (por po)
Tier (per item),Nivel (por artículo)
Rule Based (per item),Basado en reglas (por artículo)
Tier + Rule Based,Basado en reglas
Flat + Tier,Piso + nivel
Flat + Rule Based,Plano + basado en reglas
Flat + Tier + Rule Based,Plano + nivel + basado en reglas
Cost for the first item,Costo para el primer artículo
Additional item cost,Costo adicional del artículo
Tier handling fee,Tasa de manejo de nivel
Use Vendor Specific Rates,Utilice las tarifas específicas del proveedor
Select Delivery Type To Setup Rates,Seleccione el tipo de entrega para configurar las tarifas
V2 Simple First/Additional Rates,V2 Simple Primero / Tarifas Adicionales
V2 Simple Conditional Rates,V2 Simple Tarifas Condicionales
V2 Rates,V2 Tarifas
Tier Shipping,Envío de nivel
Method name,Nombre del método
Use Rates Setup,Usar la configuración de tarifas
Use Customer Group Condition,Utilizar la condición de grupo de clientes
Allow Vendors modify rates from vendor portal,Permitir que los proveedores modifiquen las tarifas del portal de proveedores
"""Cost for the first item"" Calculation Type","""Coste del primer elemento"" Tipo de cálculo"
"""Additional item cost"" Calculation Type","""Costo de elemento adicional"" Tipo de cálculo"
"""Tier handling fee"" Calculation Type","""Tasa de manejo de nivel"" Tipo de cálculo"
"""Tier handling fee"" Apply Method","""Tier handling fee"" Aplicar método"
Rates Calculation Method,Método de cálculo de las tarifas
"Product attribute code for ""Cost for the first item""","Código de atributo del producto para ""Coste del primer elemento"""
Used to set per product rates,Se utiliza para establecer las tarifas por producto
"Product attribute code for ""Additional item cost""","Código del atributo del producto para ""Coste adicional del artículo"""
"Product attribute code for ""Tier handling fee""","Código de atributo del producto para ""Tier handling fee"""
Fallback lookup method,Método de búsqueda de retorno
Fallback Cost for the first item,Costo de reposición para el primer elemento
Used when there is no matched category found,Se utiliza cuando no se ha encontrado ninguna categoría
Fallback Additional item cost,Costes adicionales del artículo
Fallback Tier handling fee,Cuota de manejo
Simple Rates,Tarifas Simples
Delivery Types,Tipos de entrega
Configure Delivery Type Rates,Configurar tarifas de entrega
Select Delivery Type to load settings in V2 Rates,Seleccione Tipo de entrega para cargar ajustes en V2 Tarifas
Show method if not applicable,Mostrar método si no es aplicable
Shipping Rates,Tarifas de envio
Separate per customer shipclass,Separado por cliente shipclass
Base plus percent per customer shipclass,Base más el porcentaje por cliente shipclass
Base plus fixed per customer shipclass,Base más fijo por cliente shipclass
Max first item other additional,Máximo primer artículo otros adicionales
Max first item (discard qty),Máximo primer elemento (cantidad de descarte)
Sum first item other additional,Suma primer artículo otros adicionales
Sum first item (discard qty),Suma primer elemento (cantidad de descarte)
Multiply first item (additional not used),Multiplicar el primer elemento (adicional no utilizado)
Vendor up to BASE,Vendedor hasta BASE
Vendor up to DEFAULT,Vendedor hasta DEFAULT
Vendor/Global by tier,Vendedor / Global por nivel
V1 Rates,V1 Tarifas
V1 Simple Rates,V1 Tarifas Simples
V2 By Category/VendorClass First/Additional/Handling Rates,V2 Por Categoría / VendorClase Primero / Adicional / Tarifas de Manejo
Full Weight,Peso completo
Vendor Vacation Message,Mensaje de vacaciones del vendedor
"NOTE: Use {{vacation_end}} code for ""Vacation Ends At"" date","NOTA: Utilice el código de {{vacation_end}} para la fecha ""Fin de vacaciones en"""
Vacation Mode,Modo vacaciones
Vacation Ends At,Las vacaciones terminan en
Not Vacation,No vacaciones
Notify Customer On Availability,Notificar al cliente sobre la disponibilidad
Disable Products,Desactivar productos
Question Details,Detalles de la pregunta
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
Guest,Invitado
Administrator,Administrador
Posted By,Publicado por
Visibility,Visibilidad
Question Status,Estado de la pregunta
Question Text,Texto de la pregunta
Answer Status,Estado de la respuesta
Answer Text,respuesta
Save Question,Guardar pregunta
Delete Question,suprimir la Cuestión
Are you sure you want to do this?,¿Estás seguro de que quieres hacer esto?
Edit Question,Editar pregunta
New Question,nueva pregunta
Question Date,Fecha de la pregunta
Customer Name,Nombre del cliente
Answer Date,Respuesta Fecha
Context,Contexto
Edit,Editar
Update Question Status,Estado de la pregunta de actualización
Update Answer Status,Actualizar estado de la respuesta
Send Customer Notification,Enviar notificación al cliente
Send Vendor Notification,Enviar notificación de proveedor
Pending Vendor Questions of Customer `%s`,Preguntas pendientes del vendedor del cliente `%s`
Pending Vendor Questions,Preguntas Pendientes del Vendedor
All Vendor Questions of Customer `%s`,Todas las preguntas de los clientes `%s`
All Vendor Questions,Todas las preguntas del vendedor
QUESTION DATE,FECHA DE PREGUNTA
CUSTOMER NAME,Nombre del cliente
SHIPMENT,embarque
#%s for order #%s,#%S para el pedido #%s
PRODUCT,PRODUCTO
Customer email,Correo electrónico del cliente
Vendor Questions,Preguntas del vendedor
All Questions/Answers,Todas las preguntas / respuestas
Pending Questions/Answers,Preguntas / Respuestas pendientes
Edit Vendor Question,Editar pregunta de vendedor
The question was removed by another user or does not exist.,La pregunta fue eliminada por otro usuario o no existe.
The question has been saved.,La pregunta ha sido guardada.
The question has been deleted,La pregunta ha sido eliminada.
Please select question(s).,"Por favor, seleccione la (s) pregunta (s)."
Total of %d record(s) have been deleted.,Total de%d registro (s) se ha eliminado.
Total of %d record(s) have been updated.,Se ha actualizado el total de%d registro (s).
An error occurred while updating the selected question(s).,Se ha producido un error al actualizar la (s) pregunta (s) seleccionada (s).
Total of %d customer notification(s) have been sent.,Total de%d notificaciones de clientes han sido enviadas.
An error occurred while sending customer notification(s).,Se ha producido un error al enviar notificaciones al cliente.
Total of %d vendor notification(s) have been sent.,Total de%d notificaciones de proveedores han sido enviadas.
An error occurred while sending vendor notification(s).,Se ha producido un error al enviar notificaciones de proveedor.
My Vendor Questions,Preguntas sobre mi proveedor
Question not found.,Pregunta no encontrada.
Your question has been accepted for moderation.,Su pregunta ha sido aceptada para moderación.
Unable to post the question.,No se pudo publicar la pregunta.
Question was successfully saved,La pregunta se guardó correctamente
Unable to find a data to save,No se pueden encontrar datos para guardar
Is product view info use tabbed layout,¿Es la información de vista del producto que usa un diseño con pestañas?
Default Question Status,Estado de pregunta predeterminada
Default Answer Status,Estado de la respuesta predeterminada
Show customer info to vendor,Mostrar información del cliente al proveedor
Show vendor info to customer,Mostrar información del proveedor al cliente
Admin Notification Email Recipient,Receptor de correo electrónico de notificación de administrador
Send new customer question/vendor answer notifications to admin,Enviar nuevas notificaciones de respuesta de vendedor / proveedor a admin
Admin New Question Notification Template,Admin Nueva plantilla de notificación de preguntas
Admin Answer Notification Template,Plantilla de notificación de respuesta de administrador
Send customer/vendor notifications copy to admin,Enviar notificaciones de cliente / proveedor copiar a admin
Send vendor notifications,Enviar notificaciones de proveedor
Vendor Notification Template,Plantilla de notificación del proveedor
Send customer notifications,Enviar notificaciones al cliente
Customer Notification Email Sender,Notificador del cliente
Customer Notification Template,Plantilla de notificación del cliente
Customer Questions,Preguntas del cliente
Please enter the question text.,Introduzca el texto de la pregunta.
Please enter your name.,Introduce tu nombre.
"Invalid email address ""%s"".","Dirección de correo electrónico no válida ""%s""."
Shipment not found.,No se ha encontrado el envío.
Approved,Aprobado
Declined,Rechazado
Private,Privado
Public,Público
Unable to initialize Express Checkout.,No se puede inicializar Express Checkout.
Unable to start Express Checkout.,No se puede iniciar el Checkout Express.
Express Checkout and Order have been canceled.,Se han cancelado la compra y el pedido exprés.
Express Checkout has been canceled.,Se ha cancelado la salida rápida.
Unable to cancel Express Checkout.,No se puede cancelar el Checkout Express.
Unable to process Express Checkout approval.,No se puede procesar la aprobación de Checkout Express.
Unknown membership,Afiliación desconocida
Vendor Membership,Membresía del Vendedor
Membership Types,Tipos de Membresía
Products Limit Exceed.,Productos Límite Exceder.
Membership Options,Opciones de membresía
Template SKUs,Modelos de SKU
Allow vendor choose configurable attributes,Permitir que el proveedor elija atributos configurables
Product SKUs used as templates (per attribute set),SKU de productos utilizados como plantillas (por conjunto de atributos)
- Select %s -,Seleccionar %s
"Images (.gif, .jpg, .png)","Imágenes (.gif, .jpg, .png)"
All Files,Todos Los Archivos
Samples,Muestras
Links,Enlaces
Add Product Options,Añadir Opciones de Producto
Simples Management,Simples Gestión
Custom Options,Opciones personalizadas
Custom Options Management,Gestión de opciones personalizadas
Downloadable Options,Opciones de descarga
Downloadable Options Management,Gestión de opciones descargables
Images,Imágenes
Attribute Set,Conjunto de atributos
Catalog,Catálogo
Manage Products,Administrar productos
Template Sku,Plantilla sku
An error occurred while getting the requested content.,Se ha producido un error al obtener el contenido solicitado.
Forbidden,Prohibido
Product was deleted,El producto fue eliminado.
Product name is invalid,El nombre del producto no es válido
Product has been saved,El producto se ha guardado
Vendor Products Edit,Productos de proveedor Editar
Use custom product zoom on frontend,Utilizar el zoom personalizado del producto en la interfaz
Preselect configurable options,Preseleccionar opciones configurables
Allow vendor delete products,Permitir que el proveedor elimine productos
Upload images into configrable simples,Cargar imágenes en configurable simples
Explicitly show media gallery in configurable product,Mostrar explícitamente la galería de medios en productos configurables
Gallery upload is required,Se requiere subir la galería
Allow add/edit custom options,Permitir agregar / editar opciones personalizadas
Show vendor sku column in vendor portal products edit grid,Mostrar la columna sku del proveedor en la cuadrícula de edición de los productos del portal del proveedor
Type of product,Tipo de producto
Create type of products here and group attribute sets per type of product,Crear tipos de productos aquí y agrupar conjuntos de atributos por tipo de producto
Prefix vendor created products' SKUs with vendor id,Prefijo fabricante de productos creados 'SKUs con el proveedor de id
Automatically generate SKUs of vendor created products,Generar automáticamente SKUs de productos creados por el proveedor
Check vendor SKU is unique within vendor products,Compruebe que el SKU del proveedor es único dentro de los productos del proveedor
Unpublish vendor product on following changes,Anular publicación del producto del proveedor en los cambios siguientes
Show hidden categories to vendor if the field presented on product edit form,Mostrar categorías ocultas al proveedor si el campo se presenta en el formulario de edición del producto
Allowed types of product,Tipos permitidos de producto
"Disable product name ""is empty"" check","Deshabilitar el nombre del producto ""está vacío"" check"
"For some languages might not work (e.g. Arabic). In that case select ""Yes""","Algunos idiomas pueden no funcionar (por ejemplo, árabe). En ese caso, seleccione ""Sí"""
Notifications,Notificaciones
Send vendor pending products notifications,Enviar notificaciones de productos pendientes del proveedor
Pending Products Vendor Notification Template,Plantilla de notificación de proveedores de productos pendientes
Send admin pending products notifications,Enviar notificaciones de productos pendientes del administrador
Pending Products Admin Notification Template,Plantilla de notificación de administración de productos pendientes
Send vendor approved products notifications,Enviar notificaciones de productos aprobados por el proveedor
Approved Products Vendor Notification Template,Plantilla de notificación de proveedores aprobados
Send admin approved products notifications,Enviar notificaciones de productos aprobados por el administrador
Approved Products Admin Notification Template,Plantilla de notificación administrativa de productos aprobados
Send vendor fix products notifications,Enviar notificaciones de productos de arreglo de proveedor
Fix Products Vendor Notification Template,Plantilla de notificación de proveedores de productos de reparación
Send admin fix products notifications,Enviar notificaciones de admin fix products
Fix Products Admin Notification Template,Plantilla de notificación de administradores de productos
"Select Type of Product to load setting in ""Product SKUs used as templates""","Seleccione el tipo de producto a cargar en ""SKU de producto utilizado como plantilla"""
Vendor Product Edit Form,Formulario de edición del producto del proveedor
Add Product Options Layout,Añadir opciones del producto
Configurable Attributes Layout,Diseño de atributos configurables
Configurable Attributes Column Title,Título de columna de los atributos configurables
"Applicable only if ""Configurable Attributes"" Layout is ""One Column""","Aplicable sólo si el diseño de ""Atributos configurables"" es ""Una columna"""
Columns,Columnas
Stock Data,Datos de Stock
"Vendor SKU ""%s"" is already used","El SKU de proveedor ""%s"" ya se utiliza"
In Stock,En stock
Out of Stock,Sin stock
Stock Item Fields,Campos de artículo
Categories,Categorías
Manage Stock,Gestionar Acciones
Qty for Item\'s Status to Become Out of Stock,Qty para que el estado del artículo esté fuera de stock
Minimum Qty Allowed in Shopping Cart,Cantidad mínima permitida en el carrito de la compra
Maximum Qty Allowed in Shopping Cart,Cantidad máxima permitida en el carrito de la compra
Vendor SKU ,SKU del proveedor 
Vendor Stock Qty ,Cantidad de stock del proveedor 
Vendor Cost ,Costo del proveedor 
Vendor Status ,Estado del proveedor 
Vendor Backorders ,Vendedores 
Vendor Price ,Precio del proveedor 
Vendor Group Price ,Precio del grupo de proveedores 
Vendor Tier Price ,Precio del nivel del proveedor 
Vendor Special Price ,Precio Especial del Vendedor 
Vendor Special From Date ,Oferta especial desde la fecha 
Vendor Special To Date ,Especial de proveedores hasta la fecha 
Vendor Free Shipping ,Vendedor Envío gratuito 
Vendor Shipping Price ,Precio de envío del vendedor 
Vendor State(Condition) ,Estado del proveedor (condición) 
Vendor State Description ,Estado del proveedor Descripción 
Vendor Title ,Título del proveedor 
State (Condition),Estado (Condición)
State description,Descripción del Estado
Group Price,Precio del grupo
Tier Price,Precio Tier
Vendor Special Price,Precio Especial del Vendedor
Vendor Special From Date,Oferta especial desde la fecha
Vendor Special To Date,Especial de proveedores hasta la fecha
Is Free Shipping,Es el envío gratis
Vendor Backorders,Vendedores
"SKU ""%s"" is already used","SKU ""%s"" ya está usado"
Removed Image(s),Imagen (s) eliminada (s)
Added Image(s),Imagen (s) añadida (s)
Fix,Fijo
Discard,Descartar
Vacation,Vacaciones
Suspended,Suspendido
-- Please Select --,Por favor seleccione
Yes and hide per option upload,Sí y ocultar por opción subir
One Column,Una columna
Separate Columns,Columnas separadas
None,Ninguna
New Product,Nuevo Producto
Image Added,Imagen publicada.
Image Removed,Imagen eliminada.
Configurable Simple Added,Configurable Simple Añadido
Configurable Simple Removed,Configurable Simple Eliminado
Attribute Value Changed,Valor del atributo modificado
Stock Changed,Stock cambiado
Custom Options Changed,Opciones personalizadas modificadas
* None *,ninguna
* All *,Todo
Out of stock,Sin Stock
In stock,En stock
Published,Publicado
Under Review,bajo revisión (objeto de examen).
Description,Descripción
Uses per Coupon,Usos por Cupón
Uses per Customer,Usos por cliente
Usage limit enforced for logged in customers only,Límite de uso aplicado sólo para clientes registrados
Coupon,Cupón
Coupon Code,Código promocional
Use Auto Generation,Utilizar la generación automática
If you select and save the rule you will be able to generate multiple coupon codes.,"Si selecciona y guarda la regla, podrá generar varios códigos de cupón."
Conditions [Apply the rule only if the following conditions are met (leave blank for all products)],Condiciones [Aplicar la regla sólo si se cumplen las siguientes condiciones (dejar en blanco para todos los productos)]
Conditions,Condiciones
Actions,Acciones
Apply,Aplicar
Percent of product price discount,Porcentaje del descuento del precio del producto
Fixed amount discount,Descuento por cantidad fija
Fixed amount discount for whole cart,Descuento de cantidad fija para todo el carrito
Buy X get Y free (discount amount is Y),Comprar X obtener Y gratis (cantidad de descuento es Y)
Discount Amount,Monto de descuento
Maximum Qty Discount is Applied To,Se aplica el descuento máximo de cantidad
Discount Qty Step (Buy X),Descuento Cantidad Paso (Comprar X)
Apply to Shipping Amount,Aplicar a la cantidad de envío
Free Shipping,Envio Gratis
For matching items only,Sólo para elementos coincidentes
For shipment with matching items,Para el envío con los artículos a juego
Actions Filter [Apply the rule only to cart items matching the following conditions (leave blank for all items)],Filtro de acciones [Aplicar la regla únicamente a los elementos del carro que coincidan con las siguientes condiciones (dejar en blanco para todos los elementos)]
Apply To,Aplicar para
Coupons,Cupones
