Download Labels,Etiketten herunterladen
"%s"" is not available for your location.","%S ""steht für Ihren Standort nicht zur Verfügung."
"%s"" is not available for your zipcode.","%S ""ist nicht für Ihre Postleitzahl verfügbar."
The minimum quantity allowed for purchase is %s.,Die für den Einkauf zugelassene Mindestmenge beträgt%s.
"The minimum quantity allowed for purchase for ""%s"" is %s.","Die Mindestmenge für den Kauf für ""%s"" ist%s."
The maximum quantity allowed for purchase is %s.,Die maximal zulässige Menge beträgt%s.
"The maximum quantity allowed for purchase for ""%s"" is %s.","Die maximal zulässige Menge für ""%s"" ist%s."
"%s"" is currently out of stock.","%S ""ist derzeit nicht auf Lager."
"Only ""%s"" of ""%s"" in stock.","Nur ""%s"" von ""%s"" auf Lager."
"%s"" is not available in the requested quantity. %s of the items will be backordered.","%S ""ist in der angeforderten Menge nicht verfügbar.%S der Artikel werden nachbestellt."
Some of the products cannot be ordered in requested quantity.,Einige der Produkte können nicht in der gewünschten Menge bestellt werden.
Stock configuration problem,Stock Konfiguration Problem
Not all products are available in the requested quantity,Nicht alle Produkte sind in der gewünschten Menge erhältlich
Allow Backorder by Availability State/Date,Rückmeldung nach Verfügbarkeit Status / Datum zulassen
Track Reserved Qty,Spur reservierte Menge
Use Avail State/Date to Allow Qty Below 0,"Verwenden Sie Avail State / Datum, um Menge unter 0 zu erlauben"
Use Avail State/Date to Allow Qty Below 0 and Notify Customer,"Verwenden Sie Avail State / Datum, um Menge unter 0 zuzulassen und den Kunden zu benachrichtigen"
Used,Benutzt 
Used: As new,Gebraucht: wie neu
Used: Very Good,Gebraucht - sehr gut
Used: Good,Gebraucht - gut
Used: Just OK,Gebraucht: Einfach OK
A product type is not defined for the indexer.,Für den Indexer ist kein Produkttyp definiert.
Po ID,Po ID
Payout Info,Auszahlungsinformationen
Method Specific Details,Methodenspezifische Details
Payout Additional Details,Auszahlung Zusätzliche Details
Paypal Correlation ID,Paypal Korrelations-ID
Payment Paid,Bezahlt
Payment Due,Zahlung fällig
Messages,Mitteilungen
Manage Payouts,Auszahlungen verwalten
Payout Information,Auszahlungsinformationen
Delete Payout,Auszahlung löschen
Create Payout(s),Auszahlungen anlegen
Sender Transaction ID,Absender-Transaktions-ID
Pay,Zahlen 
Vendor Payouts,Lieferantenauszahlungen
Generate Payouts,Auszahlungen generieren
Payout was successfully paid,Auszahlung wurde erfolgreich bezahlt
Payout '%s' no longer exists,Auszahlung '%s' existiert nicht mehr
Payout was successfully saved,Auszahlung wurde erfolgreich gespeichert
Payout was successfully deleted,Auszahlung wurde erfolgreich gelöscht
Please select payout(s),Bitte wählen Sie Auszahlung (en)
%s of %d record(s) were successfully deleted,%S von%d Datensatz wurden erfolgreich gelöscht
%s of %d record(s) were successfully updated,%S von%d Aufzeichnung (en) wurden erfolgreich aktualisiert
There was an error while updating payout(s) status,Beim Aktualisieren des Auszahlungsstatus ist ein Fehler aufgetreten
%s of %s payouts  were successfully paid,%S von%s Auszahlungen wurden erfolgreich bezahlt
There was an error during payout(s) mass pay,Es gab einen Fehler während der Auszahlung (n) Massenbezahlung
Paypal,PayPal
Check,Prüfen
Bank Transfer,Banküberweisung
Offline,Offline
Payout Options,Auszahlungsoptionen
Predefined Payout Schedules,Vordefinierte Auszahlungspläne
Payout Paypal Options,Auszahlung Paypal Optionen
Use IPN to complete payout,"Verwenden Sie IPN, um die Auszahlung abzuschließen"
Account Email,Login-E-Mail-Adresse:
Password,Passwort
Signature,Unterschrift 
Please select vendors,Bitte wählen Sie Anbieter
This payout already paid,Diese Auszahlung ist bereits bezahlt
This payout is canceled,Diese Auszahlung wird storniert
This payout wait paypal IPN,Diese Auszahlung Warte Paypal IPN
"Payout ""total due"" must be positive","Auszahlung ""total due"" muss positiv sein"
Empty payout method,Leere Auszahlungsmethode
Unknown payout method: '%s,Unbekannte Auszahlungsmethode: '%s
Can't find payout method class,Kann keine Auszahlungsmethode finden
Successfully send payment. Waiting for IPN to complete.,Zahlung erfolgreich bezahlen. Warten auf IPN zu beenden.
Successfully paid,Erfolgreich bezahlt
* No Payout,* Keine Auszahlung
Auto,Automatisch
Use Statement preferences,Verwenden Sie Statement-Einstellungen
Custom,Benutzerdefiniert
Hold,Halt 
Waiting for Paypal IPN,Warten auf Paypal IPN
* Use Custom,* Verwenden Sie benutzerdefinierte
There was error during payment finalization.,Bei der Finalisierung war ein Fehler aufgetreten.
Paypal Adaptive,Paypal Adaptive
Application ID,Bewerbungs-ID
Adaptive Payments,Adaptive Zahlungen
"Accept credit cards and PayPal payments securely and send chained payments to multiple recipients (vendors), one after the other. Each recipient can take a cut of the payment (vendor payout).","Akzeptieren Sie Kreditkarten und PayPal-Zahlungen sicher und senden Sie gekettete Zahlungen an mehrere Empfänger (Verkäufer), eine nach dem anderen. Jeder Empfänger kann einen Ausfall der Zahlung (Verkäufer Auszahlung)."
Required PayPal Settings,Erforderliche PayPal-Einstellungen
Use Parallel Payments,Verwenden Sie Parallelzahlungen
All customer payment will go to vendors accounts. Select Statement Usage as Invoice in dropship settings and generate/send it to invoice vendors commissions,Alle Kundenzahlung geht an Lieferantenkonten. Wählen Sie Statement Usage als Rechnung in dropship-Einstellungen aus und generieren / senden Sie sie an Rechnungskunden-Provisionen
Enable this Solution,Aktiviere diese Lösung
Basic Settings - PayPal Adaptive Payments,Grundeinstellungen - PayPal Adaptive Zahlungen
"It is recommended to set this value to ""PayPal"" per store views.","Es wird empfohlen, diesen Wert auf ""PayPal"" pro Speicheransichten zu setzen."
Sort Order,Sortierreihenfolge
Payment Action,Zahlungsaktion
Advanced Settings,Erweiterte Einstellungen
Payment Applicable From,Zahlung gültig ab
Countries Payment Applicable From,Länder Zahlung gültig ab
Summary Text for Aggregated Cart,Zusammenfassung Text für Aggregated Cart
Uses store frontend name by default.,Verwendet den Namen des Frontends standardmäßig.
Debug Mode,Debug Modus
Enable SSL verification,SSL-Überprüfung aktivieren
Paid amount of %s.,Bezahlte Menge an%s.
Sale,Verkauf 
Update Qty\'s,Update Qty \ 's
Create Purchase Orders,Erstellen von Bestellungen
New Purchase Orders for Order #%s,Neue Bestellung für Bestellung #%s
Save Costs Update,Kosten sparen
Edit Costs for Purchase Orders #%s,Bearbeiten Sie die Kosten für Bestellungen #%s
Purchase Order #,Auftragsnummer
Purchase Order Created,Bestellung angefertigt
Stock Vendor,Aktienverkäufer
Excel,Excel
PDF Purchase Orders,PDF Bestellung
Resend Vendor PO Notification,Resend Vendor PO Benachrichtigung
Delete POs and Notify Vendors,Löschen Sie POs und benachrichtigen Sie Anbieter
Information,Info
Order Information,Bestell-Informationen
Cannot get the order instance.,Kann die Bestellinstanz nicht bekommen.
Purchase Order View,Bestellansicht
Edit Costs,Kosten bearbeiten
Create Shipment,Erstelle versand
Print,Drucken 
Purchase Order #%1$s | %2$s,Kaufauftrag #%1$s | %2$s
Purchase Orders,Einkäufe
PO Subtotal,PO Zwischensumme
PO Total Cost,PO Gesamtkosten
PO Tax Amount,PO Steuerbetrag
PO Total Qty,PO Gesamtmenge
Dropship Advanced PO Details Report,Dropship Fortgeschrittene PO Details Bericht
Dropship Advanced PO Item Details Report,Dropship Fortgeschrittene PO Item Details Bericht
Date Created,Erstellungsdatum
New Shipment for PO #%s [Order #%s],Neuer Versand für PO #%s [Bestell #%s]
This purchase order no longer exists.,Diese Bestellung existiert nicht mehr.
Sales,Verkäufe
Shipments,Sendungen
The po no longer exists.,Der po existiert nicht mehr.
Cannot do shipment for the po.,Kann nicht für die po.
New Shipment,Neuer Versand
The shipment has been created.,Die Sendung wurde erstellt.
Shipment was succesfully invoiced,Der Versand wurde erfolgreich abgerechnet
Shipment was not invoiced,Der Versand wurde nicht in Rechnung gestellt
Cannot initialize shipment.,Der Versand kann nicht initialisiert werden.
Cannot save shipment.,Der Versand kann nicht gespeichert werden.
This order no longer exists.,Diese Bestellung existiert nicht mehr.
Cannot create PO with this qtys,Kann mit diesem qtys keine PO erstellen
Cannot update item quantity.,Die Artikelmenge kann nicht aktualisiert werden.
PO was successfully deleted,PO wurde erfolgreich gelöscht
Cannot delete PO.,Kann nicht gelöscht werden.
New Purchase Order,Neue Bestellung
View Purchase Order,Einkauf anzeigen
Created %s Purchase Orders,Erstellt%s Kaufaufträge
Cannot save po.,Kann nicht speichern po.
Canceled purchase order cannot be reverted,Abgebrochene Bestellung kann nicht zurückgesetzt werden
%s items were canceled,%S Artikel wurden storniert
There were no items to cancel that match requested condition,"Es gab keine Gegenstände, um diese Übereinstimmung abzubrechen"
Status cannot be changed to canceled because po still have processing items,"Status kann nicht geändert werden, um abgebrochen zu werden, da po noch Verarbeitungsobjekte hat"
Po Status changed to canceled,Po Status wurde in abgebrochen geändert
Cannot change status from %s to %s,Der Status kann nicht von%s nach%s geändert werden
Costs were successfully updated,Die Kosten wurden erfolgreich aktualisiert
%s POs deleted.,%S POs gelöscht.
Cannot save delete POs.,Kann nicht löschen löschen POs.
Purchase order status has been changed,Der Bestellstatus wurde geändert
Cannot change purchase order status,Der Bestellstatus kann nicht geändert werden
No purchase orders found for these criteria,Für diese Kriterien wurden keine Bestellungen gefunden
Purchase Order status has been updated for the selected orders,Der Bestellstatus wurde für die ausgewählten Aufträge aktualisiert
%s printed purchase order pdf,%S gedruckte Bestellung pdf
Created %d shipments,Erstellt%d Sendungen
Sent %d shipment customer notifications,Sent%d Sendung Kundenmeldungen
Vendor specific custom text on the bottom of purchase order PDF,Vendorspezifischer kundenspezifischer Text auf der Unterseite der Bestellung PDF
View Order Costs,Anzeigenkosten anzeigen
View PO Costs,View PO Kosten
Edit PO Costs,Bearbeiten PO Kosten
Advanced PO Details,Erweiterte PO Details
Advanced PO Item Details,Erweiterte PO Artikeldetails
Shipment Details,Versanddetails
Purchase Order Options,Bestelloptionen
Autoinvoice shipment,Autoinvoice Sendung
Auto-Invoice on these shipment statuses,Auto-Rechnung auf diese Sendungsstatus
Default PO Status,Standard-Bestellstatus
Default Virtual PO Status,Default Virtual PO Status
PO Increment Type,PO Inkrementtyp
Shipment Increment Type,Sendung Increment Type
Attach PO Pdf to Vendor Notification,Anhängen von PO Pdf an Lieferantenbenachrichtigung
Make PO Ready to Ship on Printing PO PDF,"Machen Sie PO bereit, auf Druck zu drucken PO PDF"
New PO Vendor Notification Template,Neue Bestell-Benachrichtigungsvorlage
PO Comment Vendor Notification Template,PO Kommentar Vendor Benachrichtigungsvorlage
Allow change costs when manualy create po,Erlaube Änderungskosten bei manueller Erstellung von po
Default custom text on the bottom of purchase order PDF,Default Custom Text auf der Unterseite der Bestellung PDF
Default Statement on following PO statuses,Default-Anweisung zu folgenden PO-Status
Default Customer Shipment Status,Standard-Kunde Sendungsstatus
Restrict PO statuses in vendor interface,Einschränken von PO-Status in der Vendor-Schnittstelle
Available PO statuses in vendor interface,Verfügbare PO-Status in der Lieferantenschnittstelle
Allowed forced PO status change,Erlaubte erzwungene PO-Statusänderung
Hide shipping amount in po pdf,Versteigerungsversand in po pdf ausblenden
Vendor Shipment Comments Email Subject,Vendor Sendung Bemerkungen Email Betreff
Vendor Shipment Comments Template,Vendor Sendung Kommentare Vorlage
Vendor PO Comments Email Subject,Vendor PO Bemerkungen Email Betreff
Vendor PO Comments Template,Vendor PO Kommentare Vorlage
Hide vendors that failed stock check on admin area Create PO page,"Ausblenden von Anbietern, die nicht bestanden haben"
Cannot autoinvoice shipment # %s,Kann nicht autoinvoice Sendung #%s
Cannot autoinvoice shipment # %s: order payment method does not allow partial capture,Kann nicht autoinvoice Sendung #%s: Auftragszahlungsmethode erlaubt keine Teilaufnahme
Cannot autoinvoice shipment # %s: order payment method does not allow online capture,Kann nicht autoinvoice Sendung #%s: Auftragszahlungsmethode erlaubt nicht on-line-Aufnahme
created invoice # %s for shipment # %s,Erstellt Rechnung #%s für Sendung #%s
Autoinvoice Error for shipment # %s: %s,Autoinvoice Fehler für Versand #%s:%s
"Invalid qty to ship for item ""%s","Ungültige Menge, um für Artikel ""%s zu versenden"
"Invalid qty to invoice for item ""%s","Ungültige Menge für Rechnung ""%s"
Shipment was not created due to label request error: %s,Versand wurde wegen Etikettenanforderungsfehler nicht erzeugt:%s
Shipment was deleted due to label request error: %s,Versand wurde wegen Etikettenanforderungsfehler gelöscht:%s
Shipment was canceled due to label request error: %s,Der Versand wurde aufgrund des Etikettenanforderungsfehlers storniert:%s
[%s changed PO status from '%s' to '%s'],[%S hat den Status von '%s' auf '%s' geändert
[PO status changed from '%s' to '%s'],[PO-Status von '%s' auf '%s' geändert
%s tried to change PO status from '%s' to '%s,"%S versucht, den PO-Status von '%s' auf '%s zu ändern"
Create PO,PO erstellen
ORDER WAS CANCELED,ORDER WURDE ABGESCHLOSSEN
Grand Total,Gesamtsumme
Grand Totals,Grand Totals
Extra Adjustments,Zusätzliche Anpassungen
"Invalid qty to create purchase order for item ""%s","Ungültige Menge, um eine Bestellung für den Artikel ""%s"" zu erstellen"
Purchase Order # %s: (%s)\n%s,Bestellmenge #%s: (%s) \ n%s
Cannot create an empty purchase order.,Kann keine leere Bestellung anlegen.
Partially Shipped,Teilweise verschickt
Ready for stock PO,Sofort lieferbar PO
Exported stock PO,Exportierter Bestand PO
Received stock PO,Empfangsbestand PO
Magento Native,Magento Native
Order Based,Auftragsbezogen
Trigger whole order invoice,Auslösen der gesamten Auftragsrechnung
PO Based,PO basiert
* Email notification By Status,* E-Mail-Benachrichtigung Nach Status
Unirgy_DropshipPo module does not support this version of magento,Unirgy_DropshipPo-Modul unterstützt diese Version von Magento nicht
Is Featured,ist hervorgehoben
Change Is Featured,Änderung ist gekennzeichnet
My Sell List,Meine Verkaufsliste
Sell Yours,Verkaufen Sie Ihre
Relevance,Relevanz
There was an error while updating vendor(s) is featured,Es gab einen Fehler beim Aktualisieren von Anbietern
You already selling this item,Sie verkaufen diesen Artikel bereits
The request to sell this product need to be approved by admin,"Die Anforderung, dieses Produkt zu verkaufen, muss von admin genehmigt werden"
Your sell request was succesfully submitted,Ihre Verkaufsanfrage wurde erfolgreich eingereicht
Empty sell request form data,Leere Verkaufsformulardaten
All Offers,Alle Angebote
Dropship Sell Yours,Dropship Verkaufen Sie Ihre
Sell Yours Form,Verkaufen Sie Ihr Formular
Add Product Options Fields,Produktoptionen hinzufügen
Vendor Specific Fields,Herstellerspezifische Felder
This customer username already exists.,Dieser Kundenbenutzername existiert bereits.
Account Type,Konto-Typ:
Basic,Basisch
Pro,Pro
Customer Ship Class Information,Kundenschiffsklasseninformationen
Class Name,Klassenname
Countries,Länder
Save Customer Ship Class,Sparen Sie Kundenschiffsklasse
Delete Customer Ship Class,Kundenschiff Klasse löschen
Edit Customer Ship Class '%s,Bearbeiten Kundenschiff Klasse '%s
New Customer Ship Class,Neue Kundenschiffsklasse
State/Region,[Land/Region]
Zip/Post Code,Postleitzahl
Customer Ship Classes,Kundenschiffsklassen
Vendor Ship Class Information,Vendor Ship Class Informationen
Save Vendor Ship Class,Sparen Sie Verkäufer-Klasse
Delete Vendor Ship Class,Delete Vendor Ship Class löschen
Edit Vendor Ship Class '%s,Bearbeiten Vendor Ship Class '%s
New Vendor Ship Class,Neue Vendor Ship Class
Vendor Ship Classes,Vendor Ship Klassen
This class no longer exists,Diese Klasse existiert nicht mehr
"%s"" Customer Ship Class","%S ""Kundenschiffsklasse"
Edit Class,Klasse bearbeiten
New Class,Neue Klasse
Edit Customer Ship Class,Kundenschiffsklasse bearbeiten
The customer ship class has been saved.,Die Kundenschiffsklasse wurde gespeichert.
An error occurred while saving this customer ship class.,Beim Speichern dieser Kundenschiffsklasse ist ein Fehler aufgetreten.
The ship class has been deleted.,Die Schiffsklasse wurde gelöscht.
An error occurred while deleting this ship class.,Beim Löschen dieser Schiffsklasse ist ein Fehler aufgetreten.
"%s"" Vendor Ship Class","%S ""Vendor Ship Class"
Edit Vendor Ship Class,Vendor Ship Class bearbeiten
The vendor ship class has been saved.,Die Lieferwagen-Schiffsklasse wurde gespeichert.
An error occurred while saving this vendor ship class.,Beim Speichern dieser Vendor-Schiffsklasse ist ein Fehler aufgetreten.
Shipping Classes,Versandklassen
An error occurred while saving this ship class. A class with the same name already exists.,Beim Speichern dieser Schiffsklasse ist ein Fehler aufgetreten. Ein Sensor mit dem selben Namen existiert bereits
Customer Ship Class,Kundenschiffsklasse
Vendor Ship Class,Vendor Ship Class
* Other Vendor,* Andere Verkäufer
* Other Customer,* Anderer Kunde
Drop Shipping (Split Rates),Drop Shipping (Split Preise)
Displayed Error Message,Angezeigte Fehlermeldung
Hide vendor names on checkout,Verbergen Sie Verkäufernamen bei der Kasse
Hide items amounts and subtotal on shipping method page,Ausblenden von Artikelbeträgen und Zwischensumme auf der Versandmethodenseite
Check for external checkout usage,Überprüfen Sie auf externe Kasse Verwendung
Dispatch external checkout check events,Versenden Sie externe Checkout-Check-Events
"'Yes' will dispatch events that should do extra check of external checkout usage. <br>
                                Events: udsplit_check_is_external_checkout, udsplit_check_is_paypal_express, udsplit_check_is_google_checkout
                            ","""Ja"" versendet Ereignisse, die extra Kontrolle über externe Kasse verwenden sollten. <br>
                                Veranstaltungen: udsplit_check_is_external_checkout, udsplit_check_is_paypal_express, udsplit_check_is_google_checkout"
Total,Gesamt
Rates Definition,Gebühren Definition
Commission fallback lookup method,Kommission Fallback-Lookup-Methode
Rates,Bewertungen
Fixed Rates Calculation Type,Festkalkulationstyp
Default Commission Percent,Standardkommission Prozent
<br />Default value: %.2F. Leave empty to use default.,"<br /> Standardwert:%.2F. Leer lassen, um die Standardeinstellung zu verwenden."
Fixed Flat Rate (per po) [old transaction fee],Feste Pauschale (per po) [alte Transaktionsgebühr]
Rule for Fixed Rates,Regel für Festpreise
Rule Based Fixed Rates,Regelbasierte Festpreise
Tier Commission,Tierkommission
Parent category for tiered categories,Übergeordnete Kategorie für abgestufte Kategorien
Match Subcategories,Unterkategorien aufnehmen
"Product attribute code for ""Commission percent""","Produktattributcode für ""Kommission Prozent"""
Used to set per product commission percent (instead of tier commission percent),"Wird verwendet, um pro Produktprovisionsprozent einzustellen (statt der prozentualen Provisionsanteile)"
"Product attribute code for ""Tier Fixed Rate (per item)""","Produktattributcode für ""Tier Festpreis (pro Stück)"""
Used to set per product fixed rate (instead of tier fixed rate),"Wird verwendet, um pro Produkt festen Zinssatz einzustellen (statt fester Satz)"
Tiered Rates,Abgestufte Preise
Used for transaction fee calculation,Wird für die Transaktionsgebühr berechnet
Tier Commissions,Tierkommissionen
Item Price,Artikel Preis
* Use Global Config,* Verwenden Sie Global Config
Vendor First,Verkäufer zuerst
Tier First,Tier zuerst
Flat (per po),Flach (pro po)
Tier (per item),Tier (pro Stück)
Rule Based (per item),Regelbasiert (pro Artikel)
Tier + Rule Based,Tier + Regelbasiert
Flat + Tier,Flach + Tier
Flat + Rule Based,Flat + Regelbasiert
Flat + Tier + Rule Based,Flat + Tier + Regelbasiert
Cost for the first item,Kosten für den ersten Artikel
Additional item cost,Zusätzliche Artikelkosten
Tier handling fee,Tierbearbeitungsgebühr
Use Vendor Specific Rates,Verwenden Sie herstellerspezifische Preise
Select Delivery Type To Setup Rates,"Wählen Sie Lieferart, um die Preise einzustellen"
V2 Simple First/Additional Rates,V2 Einfache erste / zusätzliche Preise
V2 Simple Conditional Rates,V2 Einfache Konditionspreise
V2 Rates,V2 Preise
Tier Shipping,Tier Versand
Method name,Verfahrensname
Use Rates Setup,Verwenden Sie Rate Setup
Use Customer Group Condition,Kundengruppe verwenden
Allow Vendors modify rates from vendor portal,"Erlaube Vendors, die Preise vom Lieferantenportal zu ändern"
"""Cost for the first item"" Calculation Type","""Kosten für den ersten Artikel"" Berechnungsart"
"""Additional item cost"" Calculation Type","""Zusätzliche Stückkosten"" Berechnungsart"
"""Tier handling fee"" Calculation Type","""Tierbearbeitungsgebühr"" Berechnungsart"
"""Tier handling fee"" Apply Method","""Tierhandling Gebühr"" Apply Methode"
Rates Calculation Method,Preise Berechnungsmethode
"Product attribute code for ""Cost for the first item""","Produktattributcode für ""Kosten für den ersten Artikel"""
Used to set per product rates,"Wird verwendet, um pro Produktraten einzustellen"
"Product attribute code for ""Additional item cost""","Produktattributcode für ""Zusätzliche Artikelkosten"""
"Product attribute code for ""Tier handling fee""","Produktattributcode für ""Tierbearbeitungsgebühr"""
Fallback lookup method,Fallback-Suchmethode
Fallback Cost for the first item,Fallback Kosten für den ersten Artikel
Used when there is no matched category found,"Wird verwendet, wenn keine passende Kategorie gefunden wurde"
Fallback Additional item cost,Fallback Zusätzliche Artikelkosten
Fallback Tier handling fee,Fallback Tier Bearbeitungsgebühr
Simple Rates,Einfache Preise
Delivery Types,Lieferarten
Configure Delivery Type Rates,Konfigurieren der Lieferart Preise
Select Delivery Type to load settings in V2 Rates,"Wählen Sie Lieferart, um Einstellungen in V2-Raten zu laden"
Show method if not applicable,"Methode anzeigen, wenn nicht anwendbar"
Shipping Rates,Versandkosten
Separate per customer shipclass,Separate pro Kunden Schiffsklasse
Base plus percent per customer shipclass,Basis plus Prozent pro Kunden Schiffsklasse
Base plus fixed per customer shipclass,Basis plus feste pro Kunden Schiffsklasse
Max first item other additional,Max
Max first item (discard qty),Maximaler Erstpunkt (Ablagemenge)
Sum first item other additional,Summe erste Gegenstände weitere Zusatz
Sum first item (discard qty),Summe erste Position (verwerfen Sie Menge)
Multiply first item (additional not used),Multiply erste Artikel (zusätzlich nicht verwendet)
Vendor up to BASE,Vendor bis zu BASE
Vendor up to DEFAULT,Vendor bis DEFAULT
Vendor/Global by tier,Lieferant / Globus nach Tier
V1 Rates,V1 Preise
V1 Simple Rates,V1 Einfache Preise
V2 By Category/VendorClass First/Additional/Handling Rates,V2 Nach Kategorie / VendorClass Erste / Zusätzliche / Umschlag Preise
Full Weight,Volles Gewicht
Vendor Vacation Message,Vendor Urlaub Nachricht
"NOTE: Use {{vacation_end}} code for ""Vacation Ends At"" date","HINWEIS: Verwenden Sie {{vacation_end}} Code für ""Urlaub endet"""
Vacation Mode,Urlaubsmodus
Vacation Ends At,Urlaub endet bei
Not Vacation,Nicht Urlaub
Notify Customer On Availability,Benachrichtigen Sie den Kunden bei der Verfügbarkeit
Disable Products,Produkte deaktivieren
Question Details,Fragendetails:
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
Guest,Gast 
Administrator,Verwalter
Posted By,Gepostet von
Visibility,Sichtbarkeit
Question Status,Frage Status
Question Text,Fragentext
Answer Status,Antwort Status
Answer Text,Antworttext
Save Question,Frage speichern
Delete Question,Frage löschen
Are you sure you want to do this?,Möchtest du das wirklich tun?
Edit Question,Frage bearbeiten
New Question,Neue Frage
Question Date,Fragedatum
Customer Name,Kundenname
Answer Date,Antwort Datum
Context,Kontext 
Edit,Bearbeiten
Update Question Status,Fehlerstatus aktualisieren
Update Answer Status,Update Antwort Status
Send Customer Notification,Kundenzufriedenheit senden
Send Vendor Notification,Vendor-Benachrichtigung senden
Pending Vendor Questions of Customer `%s`,Ausstehende Verkäufer Fragen des Kunden `%s`
Pending Vendor Questions,Ausstehende Verkäufer Fragen
All Vendor Questions of Customer `%s`,Alle Vendor Fragen des Kunden `%s`
All Vendor Questions,Alle Vendor Fragen
QUESTION DATE,FRAGE DATUM
CUSTOMER NAME,Kundenname
SHIPMENT,SENDUNG
#%s for order #%s,#%S für Auftrag #%s
PRODUCT,Produkt 
Customer email,Kunden-eMail
Vendor Questions,Vendor Fragen
All Questions/Answers,Alle Fragen / Antworten
Pending Questions/Answers,Anstehende Fragen / Antworten
Edit Vendor Question,Bearbeiten Sie die Frage des Anbieters
The question was removed by another user or does not exist.,Die Frage wurde von einem anderen Benutzer entfernt oder existiert nicht.
The question has been saved.,Die Frage wurde gespeichert.
The question has been deleted,Die Frage wurde gelöscht
Please select question(s).,Bitte Frage (en) auswählen
Total of %d record(s) have been deleted.,Summe%d Datensatz (e) wurden gelöscht.
Total of %d record(s) have been updated.,Summe von%d Datensatz wurde aktualisiert.
An error occurred while updating the selected question(s).,Beim Aktualisieren der ausgewählten Frage (s) ist ein Fehler aufgetreten.
Total of %d customer notification(s) have been sent.,Summe von%d Kundenbenachrichtigung (en) wurden gesendet.
An error occurred while sending customer notification(s).,Beim Senden von Kundenbenachrichtigungen ist ein Fehler aufgetreten.
Total of %d vendor notification(s) have been sent.,Summe der%d Lieferantenbenachrichtigung wurde gesendet.
An error occurred while sending vendor notification(s).,Beim Senden der Lieferantenbenachrichtigung ist ein Fehler aufgetreten.
My Vendor Questions,Meine Vendor Fragen
Question not found.,Frage nicht gefunden
Your question has been accepted for moderation.,Ihre Frage wurde zur Moderation angenommen.
Unable to post the question.,Kann die Frage nicht stellen.
Question was successfully saved,Die Frage wurde erfolgreich gespeichert
Unable to find a data to save,Es konnte keine Daten zum Speichern gefunden werden
Is product view info use tabbed layout,Ist Produktansicht Info verwenden Registerkarte Layout
Default Question Status,Standard-Frage Status
Default Answer Status,Standardantwortstatus
Show customer info to vendor,Kundendaten an den Verkäufer anzeigen
Show vendor info to customer,Vendor Info zum Kunden anzeigen
Admin Notification Email Recipient,Admin Benachrichtigung E-Mail Empfänger
Send new customer question/vendor answer notifications to admin,Senden Sie neue Kunden Frage / Verkäufer Antwort Benachrichtigungen an admin
Admin New Question Notification Template,Admin Neue Frage Benachrichtigung Vorlage
Admin Answer Notification Template,Admin Antwort Benachrichtigungsvorlage
Send customer/vendor notifications copy to admin,Senden Sie Kunden- / Lieferantenbenachrichtigungen an admin
Send vendor notifications,Senden von Verkäuferbenachrichtigungen
Vendor Notification Template,Vendor-Benachrichtigungsvorlage
Send customer notifications,Kundenmeldungen senden
Customer Notification Email Sender,Kundennachricht E-Mail Absender
Customer Notification Template,Kundenmeldeschablone
Customer Questions,Kundenfragen
Please enter the question text.,Bitte geben Sie den Fragetext ein.
Please enter your name.,Bitte geben Sie Ihren Namen ein.
"Invalid email address ""%s"".","Ungültige E-Mail-Adresse ""%s""."
Shipment not found.,Versand nicht gefunden
Approved,Geprüft
Declined,Abgelehnt
Private,Privatgelände
Public,Öffentlichkeit
Unable to initialize Express Checkout.,Die Express-Checkout kann nicht initialisiert werden.
Unable to start Express Checkout.,Der Express Checkout kann nicht gestartet werden.
Express Checkout and Order have been canceled.,Express Checkout und Bestellung wurden storniert.
Express Checkout has been canceled.,Express Checkout wurde storniert.
Unable to cancel Express Checkout.,Kann nicht auschecken Express Checkout.
Unable to process Express Checkout approval.,Die Express-Checkout-Genehmigung kann nicht verarbeitet werden.
Unknown membership,Unbekannte Mitgliedschaft
Vendor Membership,Vendor Mitgliedschaft
Membership Types,Mitgliedschaftstypen
Products Limit Exceed.,Produkte Limit Exceed.
Membership Options,Mitgliedschaftsoptionen
Template SKUs,Vorlage SKUs
Allow vendor choose configurable attributes,"Ermöglichen Sie dem Hersteller, konfigurierbare Attribute zu wählen"
Product SKUs used as templates (per attribute set),Produkt-SKUs als Vorlagen verwendet (pro Attributsatz)
- Select %s -,Wähle {0}%s{/0}
"Images (.gif, .jpg, .png)","Bilder (.gif, .jpg, .png)"
All Files,Alle Dateien (*.*)|*.*
Samples,Proben
Links,Links
Add Product Options,Produktoptionen hinzufügen
Simples Management,Einfache Verwaltung
Custom Options,Benutzerdefinierte Optionen
Custom Options Management,Benutzerdefiniertes Optionsmanagement
Downloadable Options,Herunterladbare Optionen
Downloadable Options Management,Herunterladbare Optionen Management
Images,Bilder
Attribute Set,Attributsatz
Catalog,Katalog
Manage Products,Artikel
Template Sku,Vorlage Sku
An error occurred while getting the requested content.,Beim Erhalten des angeforderten Inhalts ist ein Fehler aufgetreten.
Forbidden,Verboten
Product was deleted,Produkt wurde gelöscht
