Download Labels,Scarica Etichette
Required PayPal Settings,Impostazioni PayPal obbligatori
Use Parallel Payments,Utilizzare Pagamenti paralleli
All customer payment will go to vendors accounts. Select Statement Usage as Invoice in dropship settings and generate/send it to invoice vendors commissions,Tutti i pagamenti dei clienti andrà ai conti fornitori.Selezionare istruzione di utilizzo ne fa le veci in ambienti dropship e generare / inviarlo a fatturare vendor commissioni
Enable this Solution,Attivare questa soluzione
Basic Settings - PayPal Adaptive Payments,Impostazioni di base - PayPal Adaptive Payments
"It is recommended to set this value to ""PayPal"" per store views.","Si consiglia di impostare questo valore su ""PayPal"" per una vista del negozio."
Sort Order,Ordinamento
Payment Action,Azione di pagamento
Advanced Settings,Impostazioni avanzate
Payment Applicable From,Pagamento applicabili dal
Countries Payment Applicable From,Paesi di pagamento applicabile a partire dal
Summary Text for Aggregated Cart,Riassunto testo per spesa aggregata
Uses store frontend name by default.,Utilizza il nome del negozio frontend per impostazione predefinita.
Debug Mode,Modalità di debug
Enable SSL verification,Attiva la verifica SSL
Paid amount of %s.,importo pagato di%s.
Sale,Saldi
Update Qty\'s,Aggiornamento Quantità \ 's
Create Purchase Orders,Creare ordini di acquisto
New Purchase Orders for Order #%s,Nuovi ordini di acquisto per l'ordine n%s
Save Costs Update,Risparmiare sui costi di aggiornamento
Edit Costs for Purchase Orders #%s,Modifica I costi per ordini di acquisto #%s
Purchase Order #,*Purchase Order #* N. ordine di acquisto
Purchase Order Created,Ordine di Acquisto Creato
Stock Vendor,magazzino Venditore
Excel,Eccellere
PDF Purchase Orders,PDF Ordini di acquisto
Resend Vendor PO Notification,Nuovo invio di notifica Venditore PO
Delete POs and Notify Vendors,Eliminare le OP e Notifica fornitori
Information,Informazione
Order Information,Informazioni sull'ordine
Cannot get the order instance.,Impossibile ottenere l'istanza ordine.
Purchase Order View,Ordine di acquisto View
Edit Costs,Modifica Costi
Create Shipment,creare spedizione
Print,Stampa
Purchase Order #%1$s | %2$s,Ordine di Acquisto #%1$s | %2$s
Purchase Orders,Ordini Acquisto
PO Subtotal,PO subtotale
PO Total Cost,PO Costo totale
PO Tax Amount,PO Importo Tax
PO Total Qty,PO Qtà Totale
Dropship Advanced PO Details Report,Dropship avanzata PO dettagli Segnala
Dropship Advanced PO Item Details Report,Dropship avanzata PO Articolo dettagli Segnala
Date Created,data di creazione
New Shipment for PO #%s [Order #%s],Nuova spedizione per PO #%s [Ordine #%s]
This purchase order no longer exists.,Questo ordine di acquisto non esiste più.
Sales,Vendite
Shipments,Spedizioni
The po no longer exists.,Il Po non esiste più.
Cannot do shipment for the po.,Non può fare la spedizione per il Po.
New Shipment,nuova spedizione
The shipment has been created.,La spedizione è stata creata.
Shipment was succesfully invoiced,La spedizione è stata con successo fatturata
Shipment was not invoiced,Spedizione non è stato fatturato
Cannot initialize shipment.,Impossibile inizializzare la spedizione.
Cannot save shipment.,Impossibile salvare la spedizione.
This order no longer exists.,Questo ordine non esiste più.
Cannot create PO with this qtys,Impossibile creare PO con questo qtys
Cannot update item quantity.,Impossibile aggiornare la quantità oggetto.
PO was successfully deleted,PO è stato eliminato con successo
Cannot delete PO.,Impossibile eliminare PO.
New Purchase Order,Nuovo ordine di acquisto
View Purchase Order,Visualizza ordine di acquisto
Created %s Purchase Orders,Creato%s Ordini di acquisto
Cannot save po.,Impossibile salvare po.
Canceled purchase order cannot be reverted,ordine di acquisto annullato non può essere ripristinato
%s items were canceled,%s elementi sono stati cancellati
There were no items to cancel that match requested condition,Non c'erano elementi per annullare quella partita richiesto condizione
Status cannot be changed to canceled because po still have processing items,Lo stato non può essere modificato per annullato a causa del Po hanno ancora elementi di elaborazione
Po Status changed to canceled,Po stato cambiato in annullata
Cannot change status from %s to %s,Non è possibile modificare lo stato da%sa%s
Costs were successfully updated,I costi sono stati aggiornati correttamente
%s POs deleted.,%s OP cancellati.
Cannot save delete POs.,Impossibile salvare eliminare OP.
Purchase order status has been changed,lo stato degli ordini di acquisto è stato modificato
Cannot change purchase order status,Non è possibile modificare lo stato dell'ordine di acquisto
No purchase orders found for these criteria,Nessun ordini di acquisto trovato per questi criteri
Purchase Order status has been updated for the selected orders,Stato ordine di acquisto è stato aggiornato per gli ordini selezionati
%s printed purchase order pdf,%S stampata pdf ordine di acquisto
Created %d shipments,Creati%d spedizioni
Sent %d shipment customer notifications,Inviate le notifiche dei clienti%d spedizione
Vendor specific custom text on the bottom of purchase order PDF,Venditore testo specifico personalizzato sul fondo dell'ordine di acquisto PDF
View Order Costs,Costi Visualizza ordine
View PO Costs,Costi View PO
Edit PO Costs,Costi Modifica PO
Advanced PO Details,Avanzate PO Dettagli
Advanced PO Item Details,Avanzate PO Dettagli Oggetto
Shipment Details,Dettagli spedizione
Purchase Order Options,Opzioni di acquisto Ordine
Autoinvoice shipment,spedizione Autoinvoice
Auto-Invoice on these shipment statuses,Auto-Fattura su questi stati spedizione
Default PO Status,Predefinito PO Stato
Default Virtual PO Status,Predefinito virtuale Stato PO
PO Increment Type,PO Tipo Incremento
Shipment Increment Type,Spedizione Tipo Incremento
Attach PO Pdf to Vendor Notification,Fissare PO Pdf di notifica Venditore
Make PO Ready to Ship on Printing PO PDF,Fare PO pronto a spedire in stampa PO PDF
New PO Vendor Notification Template,Nuovo PO notifica fornitore Template
PO Comment Vendor Notification Template,PO Commenta Notifica fornitore Template
Allow change costs when manualy create po,Consentire costi dei cambiamenti quando manualy creano Po
Default custom text on the bottom of purchase order PDF,testo personalizzato di default sul fondo dell'ordine di acquisto PDF
Default Statement on following PO statuses,Dichiarazione di default sui seguenti stati PO
Default Customer Shipment Status,Predefinito stato delle spedizioni dei clienti
Restrict PO statuses in vendor interface,Limitare gli stati PO nell'interfaccia fornitore
Available PO statuses in vendor interface,stati PO disponibili nell'interfaccia fornitore
Allowed forced PO status change,Ammessi cambiamento di stato PO forzata
Hide shipping amount in po pdf,Hide importo di spedizione in po pdf
Vendor Shipment Comments Email Subject,Venditore spedizione Commenti Email Soggetto
Vendor Shipment Comments Template,Venditore spedizione Commenti Template
Vendor PO Comments Email Subject,Venditore PO Commenti Email Soggetto
Vendor PO Comments Template,Venditore PO Commenti Template
Hide vendors that failed stock check on admin area Create PO page,Nascondi i venditori che non hanno magazzino controllo sulla zona di admin pagina Crea PO
Cannot autoinvoice shipment # %s,Non può autoinvoice spedizione #%s
Cannot autoinvoice shipment # %s: order payment method does not allow partial capture,Non può autoinvoice spedizione #%s: metodo di pagamento ordine non consente l'acquisizione parziale
Cannot autoinvoice shipment # %s: order payment method does not allow online capture,Non può autoinvoice spedizione #%s: metodo di pagamento ordine non consente l'acquisizione on-line
created invoice # %s for shipment # %s,creato fattura #%s per la spedizione #%s
Autoinvoice Error for shipment # %s: %s,Errore Autoinvoice per la spedizione #%s:%s
"Invalid qty to ship for item ""%s","qty non valido per spedire per la voce ""%s"
"Invalid qty to invoice for item ""%s","qty non valido di fatturare per la voce ""%s"
Shipment was not created due to label request error: %s,La spedizione non è stato creato a causa di errore di richiesta etichetta:%s
Shipment was deleted due to label request error: %s,La spedizione è stata cancellata a causa di errore di richiesta etichetta:%s
Shipment was canceled due to label request error: %s,La spedizione è stata annullata a causa di errore di richiesta etichetta:%s
[%s changed PO status from '%s' to '%s'],[%S cambiato lo status PO da '%s' a '%s']
[PO status changed from '%s' to '%s'],[PO stato cambiato da '%s' a '%s']
%s tried to change PO status from '%s' to '%s,%S ha cercato di modificare lo stato di PO da '%s' a '%s
Create PO,creare PO
ORDER WAS CANCELED,Ordine è stato annullato
Grand Total,Somma totale
Grand Totals,totali complessivi
Extra Adjustments,Regolazioni extra
"Invalid qty to create purchase order for item ""%s","qty non valido per creare ordine di acquisto per l'elemento ""%s"
Purchase Order # %s: (%s)\n%s,Ordine di acquisto #%s: (%s) \ n%s
Cannot create an empty purchase order.,Non è possibile creare un ordine di acquisto vuoto.
Partially Shipped,Parzialmente spedito
Ready for stock PO,Pronto per magazzino PO
Exported stock PO,Esportato magazzino PO
Received stock PO,Ricevuto magazzino PO
Magento Native,Magento Native
Order Based,ordine basato
Trigger whole order invoice,Innescare intero fattura ordine
PO Based,PO Based
* Email notification By Status,* E-mail di notifica per stato
Unirgy_DropshipPo module does not support this version of magento,Modulo Unirgy_DropshipPo non supporta questa versione di Magento
Is Featured,È pubblicizzato
Change Is Featured,Change è anche
My Sell List,Il mio Sell List
Sell Yours,Vendi i tuoi
Relevance,Rilevanza
There was an error while updating vendor(s) is featured,Si è verificato un errore durante l'aggiornamento del fornitore (s) è anche
You already selling this item,È già vendendo questo articolo
The request to sell this product need to be approved by admin,La richiesta di vendere questo prodotto deve essere approvato da admin
Your sell request was succesfully submitted,La vostra richiesta di vendita è stata presentata con successo
Empty sell request form data,Vuoto vendita dati modulo di richiesta
All Offers,tutte le offerte
Dropship Sell Yours,Dropship Vendi i tuoi
Sell Yours Form,Vendi i tuoi Form
Add Product Options Fields,Aggiungere opzioni del prodotto Campi
Vendor Specific Fields,Venditore Specific Fields
This customer username already exists.,Questo nome utente esiste già cliente.
Account Type,Tipo di conto
Basic,Di base
Pro,Pro
Customer Ship Class Information,Clienti nave di classe Informazioni
Class Name,Nome della classe
Countries,Nazioni
Save Customer Ship Class,Salva nave di classe clienti
Delete Customer Ship Class,Eliminare nave di classe clienti
Edit Customer Ship Class '%s,Modifica cliente nave di classe '%s
New Customer Ship Class,Nuova classe Ship cliente
State/Region,Stato / Regione
Zip/Post Code,Codice di avviamento postale
Customer Ship Classes,Classi di navi clienti
Vendor Ship Class Information,Venditore nave di classe Informazioni
Save Vendor Ship Class,Salvare fornitore nave di classe
Delete Vendor Ship Class,Eliminare fornitore nave di classe
Edit Vendor Ship Class '%s,Modifica del fornitore nave di classe '%s
New Vendor Ship Class,Nuova classe fornitore Ship
Vendor Ship Classes,Le classi fornitore della nave
This class no longer exists,Questa classe non esiste più
"%s"" Customer Ship Class","%S"" nave di classe clienti"
Edit Class,Modifica Class
New Class,nuova classe
Edit Customer Ship Class,Modifica nave di classe clienti
The customer ship class has been saved.,La classe di nave cliente è stato salvato.
An error occurred while saving this customer ship class.,Si è verificato un errore durante il salvataggio di questa classe nave cliente.
The ship class has been deleted.,La classe di nave è stato cancellato.
An error occurred while deleting this ship class.,Si è verificato un errore durante l'eliminazione di questa classe nave.
"%s"" Vendor Ship Class","%S"" nave di classe fornitore"
Edit Vendor Ship Class,Modifica Vendor Class Ship
The vendor ship class has been saved.,La nave di classe fornitore è stato salvato.
An error occurred while saving this vendor ship class.,Si è verificato un errore durante il salvataggio di questa classe nave fornitore.
Shipping Classes,Classi di spedizione
An error occurred while saving this ship class. A class with the same name already exists.,Si è verificato un errore durante il salvataggio di questa classe nave. Una classe con lo stesso nome esiste già.
Customer Ship Class,Classe Nave clienti
Vendor Ship Class,Vendor Class Ship
* Other Vendor,* Altro fornitore
* Other Customer,* Altri clienti
Drop Shipping (Split Rates),Cada (Split tariffe)
Displayed Error Message,Messaggio di errore visualizzato
Hide vendor names on checkout,nomi Nascondi vendor sulla cassa
Hide items amounts and subtotal on shipping method page,Hide articoli importi e subtotale a pagina metodo di spedizione
Check for external checkout usage,Controllare l'utilizzo cassa esterna
Dispatch external checkout check events,gli eventi di controllo di spedizione di cassa esterna
"'Yes' will dispatch events that should do extra check of external checkout usage. <br>
                                Events: udsplit_check_is_external_checkout, udsplit_check_is_paypal_express, udsplit_check_is_google_checkout
                            ","Sì' spedirà eventi che dovrebbero fare il check in più di utilizzo cassa esterna. <br>
                                Eventi: udsplit_check_is_external_checkout, udsplit_check_is_paypal_express, udsplit_check_is_google_checkout"
Total,Totale
Rates Definition,tariffe Definizione
Commission fallback lookup method,metodo di ripiego di ricerca della Commissione
Rates,Tariffe
Fixed Rates Calculation Type,Tassi fissi Tipo di calcolo
Default Commission Percent,Percentuale della Commissione di default
<br />Default value: %.2F. Leave empty to use default.,<br /> valore predefinito:%.2f. Lasciare vuoto per utilizzare di default.
Fixed Flat Rate (per po) [old transaction fee],Fisso Flat Rate (per po) [vecchia tassa di transazione]
Rule for Fixed Rates,Regola per tassi fissi
Rule Based Fixed Rates,Regola Tariffe Based fissi
Tier Commission,Commissione Tier
Parent category for tiered categories,Settore superiore per le categorie a più livelli
Match Subcategories,partita sottocategorie
"Product attribute code for ""Commission percent""","Codice prodotto attributo per ""cento della Commissione"""
Used to set per product commission percent (instead of tier commission percent),Usato per impostare per ogni commissione di prodotto per cento (invece di Commissione di secondo livello per cento)
"Product attribute code for ""Tier Fixed Rate (per item)""","Codice prodotto attributo per ""Tier tasso fisso (per articolo)"""
Used to set per product fixed rate (instead of tier fixed rate),Usato per impostare per ogni prodotto a tasso fisso (al posto di livello a tasso fisso)
Tiered Rates,tiered Tariffe
Used for transaction fee calculation,Utilizzato per il calcolo tassa di transazione
Tier Commissions,Commissioni Tier
Item Price,Prezzo dell'articolo
* Use Global Config,* Usa globali Config
Vendor First,venditore First
Tier First,Livello primo
Flat (per po),Piatto (per po)
Tier (per item),Livello (per articolo)
Rule Based (per item),Regola basata (per articolo)
Tier + Rule Based,Livello + Rule Based
Flat + Tier,Flat + Tier
Flat + Rule Based,Flat + Regola base
Flat + Tier + Rule Based,Piatto + Tier + basato su regole
Cost for the first item,Il costo per la prima voce
Additional item cost,costo dell'articolo aggiuntivo
Tier handling fee,Spese di gestione Livello
Use Vendor Specific Rates,Utilizzare fornitore tassi specifici
Select Delivery Type To Setup Rates,Selezionare il tipo di consegna alle opzioni di configurazione Tariffe
V2 Simple First/Additional Rates,V2 primo semplice / TARIFFE AGGIUNTIVE
V2 Simple Conditional Rates,V2 Semplici Tariffe condizionali
V2 Rates,V2 Tariffe
Tier Shipping,Tier spedizione
Method name,nome metodo
Use Rates Setup,Impostazione Uso Tariffe
Use Customer Group Condition,Utilizzare clienti Condizione Group
Allow Vendors modify rates from vendor portal,Consentire venditori modificare i tassi dal portale vendor
"""Cost for the first item"" Calculation Type","""Costo per la prima voce"" Tipo di calcolo"
"""Additional item cost"" Calculation Type","""Costo aggiuntivo voce"" Tipo di calcolo"
"""Tier handling fee"" Calculation Type","""Tier diritti di trattamento"" Tipo di calcolo"
"""Tier handling fee"" Apply Method","""Spese di gestione Livello"" applicare il metodo"
Rates Calculation Method,Tariffe Metodo di calcolo
"Product attribute code for ""Cost for the first item""","attributo codice prodotto per ""costo per la prima voce"""
Used to set per product rates,Usato per impostare per i tassi di prodotti
"Product attribute code for ""Additional item cost""","Codice prodotto attributo per ""costo voce aggiuntiva"""
"Product attribute code for ""Tier handling fee""","Codice prodotto attributo per ""spese di gestione Livello"""
Fallback lookup method,metodo di ricerca Fallback
Fallback Cost for the first item,Costo Fallback per la prima voce
Used when there is no matched category found,Usato quando non viene trovata alcuna categoria abbinato
Fallback Additional item cost,Fallback costo dell'articolo aggiuntivo
Fallback Tier handling fee,Spese di gestione Fallback Livello
Simple Rates,semplici Tariffe
Delivery Types,Tipi di consegna
Configure Delivery Type Rates,Configurare Tipo di consegna Tariffe
Select Delivery Type to load settings in V2 Rates,Selezionare il tipo di consegna per caricare le impostazioni in V2 Tariffe
Show method if not applicable,Visualizza metodo se non applicabile
Shipping Rates,Tariffe di spedizione
Separate per customer shipclass,Separato per ogni cliente shipclass
Base plus percent per customer shipclass,Base più per cento shipclass cliente
Base plus fixed per customer shipclass,Base più fisso per shipclass cliente
Max first item other additional,Max primo elemento aggiuntivo altro
Max first item (discard qty),Max primo elemento (scarto qty)
Sum first item other additional,Somma primo elemento aggiuntivo altro
Sum first item (discard qty),Somma primo elemento (scarto qty)
Multiply first item (additional not used),Moltiplicare primo elemento (supplementare non utilizzato)
Vendor up to BASE,Venditore fino a BASE
Vendor up to DEFAULT,Venditore sino al default
Vendor/Global by tier,Venditore / globale per livello
V1 Rates,V1 Tariffe
V1 Simple Rates,V1 Semplici Tariffe
V2 By Category/VendorClass First/Additional/Handling Rates,V2 per categoria / VendorClass First / supplementari / trattare i tassi
Full Weight,Peso completa
Vendor Vacation Message,Venditore vacanze Messaggio
"NOTE: Use {{vacation_end}} code for ""Vacation Ends At"" date","NOTA: Usa {{}} vacation_end codice per ""Vacation termina alla"" data"
Vacation Mode,Modalità vacanze
Vacation Ends At,Vacation termina a
Not Vacation,non vacanze
Notify Customer On Availability,Notifica dei clienti su disponibilità
Disable Products,Disattiva Prodotti
Question Details,Dettagli Domanda
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
Guest,Ospite
Administrator,Amministratore
Posted By,Caricato da
Visibility,Visibilità
Question Status,domanda di stato
Question Text,Testo della Domanda
Answer Status,risposta di stato
Answer Text,risposta di testo
Save Question,Salva domanda
Delete Question,Elimina domanda
Are you sure you want to do this?,Vuoi farlo?
Edit Question,Modifica domanda
New Question,nuova domanda
Question Date,domanda Data
Customer Name,Nome cliente
Answer Date,risposta data
Context,Contesto
Edit,Modifica
Update Question Status,Aggiornamento Domanda Stato
Update Answer Status,Aggiornamento risposta Stato
Send Customer Notification,Invia notifica clienti
Send Vendor Notification,Invia notifica Venditore
Pending Vendor Questions of Customer `%s`,In attesa del fornitore Questioni di clienti `%s`
Pending Vendor Questions,In attesa fornitore Domande
All Vendor Questions of Customer `%s`,Tutti fornitore domande di clienti `%s`
All Vendor Questions,Tutte le domande del fornitore
QUESTION DATE,DATA DI DOMANDA
CUSTOMER NAME,Nome cliente
SHIPMENT,[00:01:45] la spedizione.
#%s for order #%s,#%S per l'ordine n%s
PRODUCT,PRODOTTI
Customer email,Email cliente
Vendor Questions,venditore Domande
All Questions/Answers,Tutte le Domande / Risposte
Pending Questions/Answers,In attesa Domande / Risposte
Edit Vendor Question,Modifica Venditore Domanda
The question was removed by another user or does not exist.,La questione è stata rimossa da un altro utente o non esiste.
The question has been saved.,La domanda è stata salvata.
The question has been deleted,La domanda è stato eliminato.
Please select question(s).,Si prega di selezionare domanda (s).
Total of %d record(s) have been deleted.,Totale del disco%d (s) sono stati cancellati.
Total of %d record(s) have been updated.,Totale del disco%d (s) sono stati aggiornati.
An error occurred while updating the selected question(s).,si è verificato un errore durante l'aggiornamento alla domanda selezionata (s).
Total of %d customer notification(s) have been sent.,Totale della notifica%d cliente (s) sono stati inviati.
An error occurred while sending customer notification(s).,Si è verificato un errore durante l'invio di avvisare il cliente (s).
Total of %d vendor notification(s) have been sent.,Totale della notifica%d vendor (s) sono stati inviati.
An error occurred while sending vendor notification(s).,Si è verificato un errore durante l'invio della notifica del fornitore (s).
My Vendor Questions,Le mie domande fornitore
Question not found.,Domanda non trovata.
Your question has been accepted for moderation.,La tua domanda è stata accettata per la moderazione.
Unable to post the question.,Impossibile inviare la domanda.
Question was successfully saved,Domanda è stato salvato con successo
Unable to find a data to save,Impossibile trovare un dati da salvare
Is product view info use tabbed layout,È prodotto Visualizzazione utilizzo informazioni a schede di layout
Default Question Status,Predefinito Domanda Stato
Default Answer Status,Predefinito risposta Stato
Show customer info to vendor,Mostra info cliente al fornitore
Show vendor info to customer,Mostra info fornitore a cliente
Admin Notification Email Recipient,Notifica Admin Email Destinatario
Send new customer question/vendor answer notifications to admin,Invia nuove notifiche cliente domanda / risposta a fornitore di amministrazione
Admin New Question Notification Template,Admin Hai un nuovo modello di domanda di notifica
Admin Answer Notification Template,Risposta Admin notifica Template
Send customer/vendor notifications copy to admin,Invia cliente / fornitore notifiche copiare a admin
Send vendor notifications,Invia notifiche vendor
Vendor Notification Template,Fornitore di notifica Template
Send customer notifications,Invia notifiche dei clienti
Customer Notification Email Sender,Clienti di notifica Email Sender
Customer Notification Template,Notifica cliente Template
Customer Questions,domande dei clienti
Please enter the question text.,Si prega di inserire il testo della domanda.
Please enter your name.,Inserisci il tuo nome.
"Invalid email address ""%s"".","Indirizzo email non valido ""%s""."
Shipment not found.,La spedizione non trovato.
Approved,Approvate
Declined,Rifiutato
Private,Privato
Public,Pubblico
Unable to initialize Express Checkout.,Impossibile inizializzare di pagamento rapido.
Unable to start Express Checkout.,Impossibile avviare il pagamento rapido.
Express Checkout and Order have been canceled.,Pagamento express and Order sono stati cancellati.
Express Checkout has been canceled.,Checkout Express è stato annullato.
Unable to cancel Express Checkout.,Impossibile annullare la Procedura di pagamento rapido.
Unable to process Express Checkout approval.,Impossibile elaborare l'approvazione di pagamento rapido.
Unknown membership,appartenenza Unknown
Vendor Membership,venditore appartenenza
Membership Types,tipologie di abbonamento
Products Limit Exceed.,Prodotti Limite Exceed.
Membership Options,Opzioni Membership
Template SKUs,modello SKU
Allow vendor choose configurable attributes,Consentire vendor scegliere attributi configurabili
Product SKUs used as templates (per attribute set),SKU di prodotti utilizzati come modelli (per attributo set)
- Select %s -,Seleziona %s
"Images (.gif, .jpg, .png)","Immagini (.gif, .jpg, .png)"
All Files,Tutti i file (*.*)|*.*
Samples,Esempi
Links,Collegamenti
Add Product Options,Aggiungere Opzioni del prodotto
Simples Management,Gestione simples
Custom Options,Opzioni personalizzate
Custom Options Management,Gestione Opzioni personalizzate
Downloadable Options,Opzioni scaricabili
Downloadable Options Management,Gestione delle opzioni scaricabili
Images,immagini
Attribute Set,set di attributi
Catalog,Catalogare
Manage Products,Gestisci i Prodotti
Template Sku,modello Cod
An error occurred while getting the requested content.,Si è verificato un errore durante il recupero il contenuto richiesto.
Forbidden,Vietato
Product was deleted,Articolo è stato cancellato
Product name is invalid,Nome del prodotto non è valido
Product has been saved,Prodotto è stato salvato
Vendor Products Edit,Venditore Prodotti Modifica
Use custom product zoom on frontend,Utilizzare lo zoom prodotto personalizzato sul frontend
Preselect configurable options,Preselezione opzioni configurabili
Allow vendor delete products,Consentire vendor eliminare prodotti
Upload images into configrable simples,Carica le immagini in simples configrable
Explicitly show media gallery in configurable product,Esplicitamente show Galleria media in prodotto configurabile
Gallery upload is required,è necessario caricare Galleria
Allow add/edit custom options,Consentire aggiungere / modificare le opzioni personalizzate
Show vendor sku column in vendor portal products edit grid,Visualizza vendor colonna sku in vendor prodotti di portale Modifica griglia
Type of product,Tipo di prodotto
Create type of products here and group attribute sets per type of product,Crea tipo di prodotti qui e l'attributo di gruppo imposta per ogni tipo di prodotto
Prefix vendor created products' SKUs with vendor id,SKU prefisso fornitore creato prodotti con vendor id
Automatically generate SKUs of vendor created products,Generazione automatica di SKU di vendor creato prodotti
Check vendor SKU is unique within vendor products,Controllare fornitore SKU è univoco all'interno prodotti di vendor
Unpublish vendor product on following changes,prodotto vendor Unpublish su seguenti modifiche
Show hidden categories to vendor if the field presented on product edit form,Mostra categorie nascoste al venditore se il campo presentato il prodotto modulo di modifica
Allowed types of product,tipi permessi di prodotto
"Disable product name ""is empty"" check","Disabilita nome del prodotto ""è vuoto"" di controllo"
"For some languages might not work (e.g. Arabic). In that case select ""Yes""","Per alcune lingue potrebbero non funzionare (ad esempio arabo). In tal caso, selezionare ""Sì"""
Notifications,notifiche
Send vendor pending products notifications,Invia vendor in attesa prodotti Comunicazioni
Pending Products Vendor Notification Template,In attesa di prodotti di vendor modello di notifica
Send admin pending products notifications,Invia amministrazione in attesa prodotti Comunicazioni
Pending Products Admin Notification Template,In attesa Prodotti Admin modello di notifica
Send vendor approved products notifications,Invia fornitore approvato prodotti Comunicazioni
Approved Products Vendor Notification Template,Prodotti approvati notifica fornitore Template
Send admin approved products notifications,Invia di amministrazione ha approvato prodotti Comunicazioni
Approved Products Admin Notification Template,Approvato modello di notifica Prodotti Admin
Send vendor fix products notifications,Invia prodotti vendor fix notifiche
Fix Products Vendor Notification Template,Fissare Prodotti Venditore notifica Template
Send admin fix products notifications,Invia prodotti amministratore fix notifiche
Fix Products Admin Notification Template,Fissare Prodotti Admin notifica Template
"Select Type of Product to load setting in ""Product SKUs used as templates""","Seleziona il tipo di prodotto da caricare l'impostazione in ""SKU del prodotto usato come modelli"""
Vendor Product Edit Form,Fornitore del prodotto Modifica modulo
Add Product Options Layout,Aggiungere opzioni di layout del prodotto
Configurable Attributes Layout,Attributi configurabili layout
Configurable Attributes Column Title,Attributi configurabili Colonna Titolo
"Applicable only if ""Configurable Attributes"" Layout is ""One Column""","Applicabile solo se ""attributi configurabili"" Layout è ""una colonna"""
Columns,Colonne
Stock Data,dati Stock
"Vendor SKU ""%s"" is already used","Venditore SKU ""%s"" è già utilizzato"
In Stock,Disponibile
Out of Stock,Esaurito
Stock Item Fields,Campi articolo di riserva
Categories,Categorie
Manage Stock,gestire il magazzino
Qty for Item\'s Status to Become Out of Stock,Quantità per la voce \ 's di stato per diventare Esaurito
Minimum Qty Allowed in Shopping Cart,Quantità minima consentita nel Carrello
Maximum Qty Allowed in Shopping Cart,Massima Qtà ammessi nel Carrello
Vendor SKU ,venditore SKU 
Vendor Stock Qty ,Venditore Disponibilità Quantità 
Vendor Cost ,venditore Costo 
Vendor Status ,Stato fornitore 
Vendor Backorders ,Backorders vendor 
Vendor Price ,venditore Prezzo 
Vendor Group Price ,Fornitore Gruppo Prezzo 
Vendor Tier Price ,Venditore Tier Prezzo 
Vendor Special Price ,Venditore Prezzo speciale 
Vendor Special From Date ,Venditore speciale Da Data 
Vendor Special To Date ,Fornitore Speciale A Data 
Vendor Free Shipping ,Fornitore di trasporto 
Vendor Shipping Price ,Venditore Spedizione Prezzo 
Vendor State(Condition) ,Stato Vendor (Condizione) 
Vendor State Description ,Venditore Stato Descrizione 
Vendor Title ,venditore Titolo 
State (Condition),State (Stato)
State description,descrizione Stato
Group Price,Gruppo Prezzo
Tier Price,Tier Prezzo
Vendor Special Price,Venditore Prezzo speciale
Vendor Special From Date,Venditore speciale Da Data
Vendor Special To Date,Fornitore Speciale A Data
Is Free Shipping,È trasporto libero
Vendor Backorders,Backorders vendor
"SKU ""%s"" is already used","SKU ""%s"" è già utilizzato"
Removed Image(s),Immagine Rimosso (s)
Added Image(s),Immagine Aggiunto (s)
Fix,Correggi
Discard,Annulla
Vacation,Vacanze
Suspended,Sospeso
-- Please Select --,Per favore Selezionare ...
Yes and hide per option upload,Sì e nascondere per caricare opzione
One Column,una colonna
Separate Columns,colonne separate
None,Nessuno
New Product,Nuovo prodotto
Image Added,immagine Aggiunta
Image Removed,immagine Rimosso
Configurable Simple Added,Configurabile Semplice Aggiunto
Configurable Simple Removed,Semplice configurabile Rimosso
Attribute Value Changed,Attributo valore modificato
Stock Changed,azione sono cambiato
Custom Options Changed,Opzioni personalizzate Cambiato
* None *,Nessuno
* All *,Tutto
Out of stock,Esaurito
In stock,Disponibile
Published,Pubblicato
Under Review,In corso di revisione
Description,Descrizione
Uses per Coupon,Utilizza per coupon
Uses per Customer,Utilizza per cliente
Usage limit enforced for logged in customers only,limite di utilizzo forzato per clienti registrati i clienti solo
Coupon,Cou
Coupon Code,Codice Coupon
Use Auto Generation,Usa Generazione automatica
If you select and save the rule you will be able to generate multiple coupon codes.,Se si seleziona e salvare la regola si sarà in grado di generare più codici promozionali.
Conditions [Apply the rule only if the following conditions are met (leave blank for all products)],Condizioni [applicare la regola solo se sono soddisfatte le seguenti condizioni (Lascia in bianco per tutti i prodotti)]
Conditions,Trading
Actions,Azioni
Apply,Applica
Percent of product price discount,Percentuale di sconto prezzo del prodotto
Fixed amount discount,importo dello sconto fisso
Fixed amount discount for whole cart,importo dello sconto fisso per tutta la spesa
Buy X get Y free (discount amount is Y),Acquista X ottiene Y libero (importo sconto è Y)
Discount Amount,Importo sconto
Maximum Qty Discount is Applied To,Sconto massimo Quantità viene applicata a
Discount Qty Step (Buy X),Scontati per quantità Passo (Buy X)
Apply to Shipping Amount,Applicare alla quantità di trasporto
Free Shipping,Spedizione Gratuita
For matching items only,Per la corrispondenza solo gli elementi
For shipment with matching items,Per la spedizione con oggetti corrispondenti
