Download Labels,Télécharger étiquettes
"Accept credit cards and PayPal payments securely and send chained payments to multiple recipients (vendors), one after the other. Each recipient can take a cut of the payment (vendor payout).","Accepter les cartes de crédit et les paiements par PayPal en toute sécurité et envoyer des paiements chaînés à plusieurs destinataires (fournisseurs), l'un après l'autre. Chaque destinataire peut prendre une réduction du paiement (paiement des fournisseurs)."
Required PayPal Settings,Paramètres PayPal requis
Use Parallel Payments,Utilisez paiements parallèles
All customer payment will go to vendors accounts. Select Statement Usage as Invoice in dropship settings and generate/send it to invoice vendors commissions,Tous les paiements à la clientèle ira aux comptes des fournisseurs.Sélectionnez Utilisation Déclaration de la facture dans les paramètres de dropship et générer / envoyer à facturer les vendeurs commissions
Enable this Solution,Activez cette solution
Basic Settings - PayPal Adaptive Payments,Réglages de base - Paiements PayPal adaptatives
"It is recommended to set this value to ""PayPal"" per store views.",Il est recommandé de définir cette valeur à « PayPal » par des vues de magasin.
Sort Order,Ordre de Tri
Payment Action,Action paiement
Advanced Settings,Paramètres Avancés
Payment Applicable From,Paiement applicable à partir
Countries Payment Applicable From,Pays Paiement applicable à partir
Summary Text for Aggregated Cart,Résumé Texte pour Agrégé Panier
Uses store frontend name by default.,Utilise le nom de frontend magasin par défaut.
Debug Mode,Mode débogage
Enable SSL verification,Activer la vérification SSL
Paid amount of %s.,montant payé de%s.
Sale,Vente
Update Qty\'s,Mise à jour Nbre \ 's
Create Purchase Orders,Créer des commandes d'achat
New Purchase Orders for Order #%s,Les nouvelles commandes d'achat pour ordre #%s
Save Costs Update,Mise à jour Réduction des coûts
Edit Costs for Purchase Orders #%s,Modifier les coûts pour les commandes d'achat #%s
Purchase Order #,Bon de Commande #
Purchase Order Created,Bon de commande Créé
Stock Vendor,Fournisseur de stock
Excel,Exceller
PDF Purchase Orders,Les commandes d'achat PDF
Resend Vendor PO Notification,Renvoyez notification PO vendeur
Delete POs and Notify Vendors,Supprimer et informer les fournisseurs OREN
Information,Informations
Order Information,Informations sur la commande
Cannot get the order instance.,Impossible d'obtenir l'instance de commande.
Purchase Order View,Bon de commande Voir
Edit Costs,Coûts Modifier
Create Shipment,Créer l'envoi
Print,Impression
Purchase Order #%1$s | %2$s,Bon de commande #%1$s | %2$s
Purchase Orders,Commande d'achats
PO Subtotal,Total partiel PO
PO Total Cost,Coût total PO
PO Tax Amount,PO taxe Montant
PO Total Qty,PO totale Quantité
Dropship Advanced PO Details Report,Dropship avancée PO Détails Rapport
Dropship Advanced PO Item Details Report,Dropship avancée PO Détails du rapport
Date Created,Date de création
New Shipment for PO #%s [Order #%s],Nouvel arrivage pour [Commande #%s] de PO #%
This purchase order no longer exists.,Cette commande n'existe plus.
Sales,Promotions
Shipments,Les livraisons
The po no longer exists.,Le po n'existe plus.
Cannot do shipment for the po.,Ne peut pas faire l'expédition pour le po.
New Shipment,nouvel arrivage
The shipment has been created.,L'envoi a été créé.
Shipment was succesfully invoiced,Envoi a été facturé avec succès
Shipment was not invoiced,Expédition n'a pas été facturée
Cannot initialize shipment.,Impossible d'initialiser l'expédition.
Cannot save shipment.,Impossible d'enregistrer l'expédition.
This order no longer exists.,Cette commande n'existe plus.
Cannot create PO with this qtys,Impossible de créer PO avec cette qtys
Cannot update item quantity.,Ne peut pas mettre à jour la quantité de produit.
PO was successfully deleted,PO a été supprimé avec succès
Cannot delete PO.,Impossible de supprimer le PO.
New Purchase Order,Nouvelle commande d'achat
View Purchase Order,Voir le bon de commande
Created %s Purchase Orders,Les commandes d'achat de Créé%
Cannot save po.,Impossible d'enregistrer po.
Canceled purchase order cannot be reverted,Annulation de la commande d'achat ne peuvent être reversées
%s items were canceled,Tous les articles de% ont été annulés
There were no items to cancel that match requested condition,Il n'y avait pas d'éléments à annuler ce match condition requise
Status cannot be changed to canceled because po still have processing items,Le statut ne peut être changé à annulé parce que po ont encore des éléments de traitement
Po Status changed to canceled,Po Statut changé qu'annulées
Cannot change status from %s to %s,Ne peut pas changer le statut de%s à%s
Costs were successfully updated,Les coûts ont été mis à jour avec succès
%s POs deleted.,%s supprimé OREN.
Cannot save delete POs.,Impossible d'enregistrer supprimer OREN.
Purchase order status has been changed,Achat état de la commande a été modifié
Cannot change purchase order status,Impossible de changer l'achat statut de la commande
No purchase orders found for these criteria,Aucun bon de commande correspond à
Purchase Order status has been updated for the selected orders,Achat état de la commande a été mis à jour pour les commandes sélectionnées
%s printed purchase order pdf,% D'imprimés bon de commande pdf
Created %d shipments,Créé% des livraisons d
Sent %d shipment customer notifications,Envoyés% des notifications des clients d'expédition d
Vendor specific custom text on the bottom of purchase order PDF,Fournisseur texte personnalisé spécifique sur le fond de bon de commande PDF
View Order Costs,Voir les coûts de commande
View PO Costs,Voir les coûts PO
Edit PO Costs,Modifier les coûts PO
Advanced PO Details,Avancée Détails PO
Advanced PO Item Details,PO avancée Détails de l'article
Shipment Details,Détails de l'envoi
Purchase Order Options,Options d'achat Ordre
Autoinvoice shipment,expédition Autoinvoice
Auto-Invoice on these shipment statuses,Auto-facture sur ces statuts d'expédition
Default PO Status,Statut PO par défaut
Default Virtual PO Status,Par défaut Statut PO virtuel
PO Increment Type,Type de PO Incrémenter
Shipment Increment Type,Type d'expédition Increment
Attach PO Pdf to Vendor Notification,Joindre Pdf PO à la notification du vendeur
Make PO Ready to Ship on Printing PO PDF,Faire PO Prêt à navire d'impression PO PDF
New PO Vendor Notification Template,Modèle de notification du fournisseur New PO
PO Comment Vendor Notification Template,PO Commentaire Modèle de notification du vendeur
Allow change costs when manualy create po,Autoriser les coûts de changement quand manualy créer po
Default custom text on the bottom of purchase order PDF,texte personnalisé par défaut sur le fond de bon de commande PDF
Default Statement on following PO statuses,Déclaration par défaut sur les statuts suivants PO
Default Customer Shipment Status,Par défaut Expédition Statut client
Restrict PO statuses in vendor interface,Restreindre les statuts de PO dans l'interface fournisseur
Available PO statuses in vendor interface,Disponible statuts PO dans l'interface fournisseur
Allowed forced PO status change,Permis forcé changement de statut PO
Hide shipping amount in po pdf,Cacher le montant de la livraison en po pdf
Vendor Shipment Comments Email Subject,Expédition Vendor Commentaires Email Sujet
Vendor Shipment Comments Template,Expéditions fournisseur Commentaires Modèle
Vendor PO Comments Email Subject,PO fournisseur Commentaires Email Sujet
Vendor PO Comments Template,PO fournisseur Commentaires Modèle
Hide vendors that failed stock check on admin area Create PO page,les fournisseurs de cacher Echec de la vérification des stocks sur la zone admin Créer une page PO
Cannot autoinvoice shipment # %s,Ne peut pas autoinvoice expédition #%s
Cannot autoinvoice shipment # %s: order payment method does not allow partial capture,Ne peut pas autoinvoice expédition #%s: méthode de paiement de la commande ne permet pas la capture partielle
Cannot autoinvoice shipment # %s: order payment method does not allow online capture,Ne peut pas autoinvoice expédition #%s: méthode de paiement de la commande ne permet pas la capture en ligne
created invoice # %s for shipment # %s,facture créée #%s pour l'expédition #%s
Autoinvoice Error for shipment # %s: %s,Erreur Autoinvoice pour l'expédition #%s:%s
"Invalid qty to ship for item ""%s",Invalide qté d'expédition pour l'article « %s
"Invalid qty to invoice for item ""%s",Invalide qté à la facture pour l'article « %s
Shipment was not created due to label request error: %s,Expédition n'a pas été créé à cause d'une erreur de demande d'étiquette:%s
Shipment was deleted due to label request error: %s,Envoi a été supprimé en raison d'une erreur de demande d'étiquette:%s
Shipment was canceled due to label request error: %s,Envoi a été annulé en raison d'une erreur de demande d'étiquette:%s
[%s changed PO status from '%s' to '%s'],[%s a changé son statut PO de '%s' à '%s']
[PO status changed from '%s' to '%s'],[État PO changé de '%s' à '%s']
%s tried to change PO status from '%s' to '%s,%s ont essayé de changer de statut PO de '%s' à « %s
Create PO,Créer PO
ORDER WAS CANCELED,Commande a été annulée
Grand Total,Total général
Grand Totals,Total Général
Extra Adjustments,Des ajustements supplémentaires
"Invalid qty to create purchase order for item ""%s",Non valide qté pour créer un bon de commande pour l'article « %s
Purchase Order # %s: (%s)\n%s,Bon de commande #%s: (%s) \ n%s
Cannot create an empty purchase order.,Impossible de créer un ordre d'achat vide.
Partially Shipped,Expédition partielle
Ready for stock PO,Prêt pour le stock PO
Exported stock PO,Exporté stock PO
Received stock PO,Reçu stock PO
Magento Native,Magento natif
Order Based,ordre Basées
Trigger whole order invoice,Déclencher toute facture de commande
PO Based,PO Based
* Email notification By Status,* Notification par courriel par État
Unirgy_DropshipPo module does not support this version of magento,Module Unirgy_DropshipPo ne supporte pas cette version de magento
Is Featured,Est mis en avant
Change Is Featured,Changement est en vedette
My Sell List,Ma Liste de vente
Sell Yours,Vendez votre exemplaire
Relevance,Pertinence
There was an error while updating vendor(s) is featured,Il y avait une erreur en mettant à jour fournisseur (s) est en vedette
You already selling this item,Vendez-vous déjà cet article
The request to sell this product need to be approved by admin,La demande de vendre ce besoin de produit à réceptionner par admin
Your sell request was succesfully submitted,Votre demande de vente a été soumise avec succès
Empty sell request form data,Vider vendre des données de formulaire de demande
All Offers,toutes les offres
Dropship Sell Yours,Dropship Vendre vôtre
Sell Yours Form,Vendez votre exemplaire Formez
Add Product Options Fields,Ajouter Options du produit Les champs
Vendor Specific Fields,Champs spécifiques fournisseurs
This customer username already exists.,Ce nom d'utilisateur de client existe déjà.
Account Type,Type de compte
Basic,Basique
Pro,Pro
Customer Ship Class Information,Navire d'information de classe à la clientèle
Class Name,Nom du cours
Countries,Pays
Save Customer Ship Class,Enregistrer classe navire client
Delete Customer Ship Class,Supprimer la classe des navires client
Edit Customer Ship Class '%s,Modifier client navire classe s de l'% de
New Customer Ship Class,Nouvelle classe de navire client
State/Region,État / Région
Zip/Post Code,Code postal / Post
Customer Ship Classes,Classes de navires à la clientèle
Vendor Ship Class Information,Navire d'information de classe fournisseur
Save Vendor Ship Class,Enregistrer fournisseur navire classe
Delete Vendor Ship Class,Supprimer fournisseur navire classe
Edit Vendor Ship Class '%s,Modifier fournisseur navire classe s de l'% de
New Vendor Ship Class,Nouvelle classe de navires de fournisseur
Vendor Ship Classes,Classes de navires du vendeur
This class no longer exists,Cette classe n'existe plus
"%s"" Customer Ship Class",%s » classe de navires à la clientèle
Edit Class,Modifier la classe
New Class,Nouvelle Classe
Edit Customer Ship Class,Modifier la classe des navires client
The customer ship class has been saved.,La classe du navire à la clientèle a été enregistré.
An error occurred while saving this customer ship class.,Une erreur est survenue lors de l'enregistrement de cette classe de navire à la clientèle.
The ship class has been deleted.,La classe de navire a été supprimé.
An error occurred while deleting this ship class.,Une erreur est survenue lors de la suppression de cette classe de navire.
"%s"" Vendor Ship Class",% De » Fournisseur navire classe
Edit Vendor Ship Class,Modifier fournisseur navire classe
The vendor ship class has been saved.,La classe de navire fournisseur a été enregistré.
An error occurred while saving this vendor ship class.,Une erreur est survenue lors de l'enregistrement de cette classe de navire fournisseur.
Shipping Classes,Classes d'expédition
An error occurred while saving this ship class. A class with the same name already exists.,Une erreur est survenue lors de l'enregistrement de cette classe de navire. Une classe avec le même nom existe déjà.
Customer Ship Class,Classe de navire client
Vendor Ship Class,Fournisseur navire classe
* Other Vendor,* Autres fournisseurs
* Other Customer,* Autres clients
Drop Shipping (Split Rates),Drop Shipping (Split Tarifs)
Displayed Error Message,Message d'erreur affiché
Hide vendor names on checkout,Les noms Masquer les fournisseurs sur la caisse
Hide items amounts and subtotal on shipping method page,Masquer les montants des articles et de sous-total sur la page Mode de livraison
Check for external checkout usage,Vérifier l'utilisation de la caisse externe
Dispatch external checkout check events,Envoi des événements de contrôle de caisse externe
"'Yes' will dispatch events that should do extra check of external checkout usage. <br>
                                Events: udsplit_check_is_external_checkout, udsplit_check_is_paypal_express, udsplit_check_is_google_checkout
                            ","« Oui » transmettra les événements qui devraient faire contrôle supplémentaire de l'utilisation de la caisse externe. <br>
                                Événements: udsplit_check_is_external_checkout, udsplit_check_is_paypal_express, udsplit_check_is_google_checkout"
Total,Total 
Rates Definition,Définition des tarifs
Commission fallback lookup method,Commission méthode de recherche de repli
Rates,les Tarifs
Fixed Rates Calculation Type,Taux fixes Type de calcul
Default Commission Percent,Commission par défaut Pourcentage
<br />Default value: %.2F. Leave empty to use default.,<br /> Valeur par défaut:% .2f. Laisser vide pour utiliser par défaut.
Fixed Flat Rate (per po) [old transaction fee],Fixe Taux fixe (par po) [ancien frais de transaction]
Rule for Fixed Rates,Règle des taux fixes
Rule Based Fixed Rates,Règle des taux fixes basés
Tier Commission,Commission Tier
Parent category for tiered categories,Catégorie parente pour les catégories à plusieurs niveaux
Match Subcategories,Sous-catégories match
"Product attribute code for ""Commission percent""",Code d'attribut de produit pour « Commission pour cent »
Used to set per product commission percent (instead of tier commission percent),Utilisé pour régler par la commission produit pour cent (au lieu de commission de niveau pour cent)
"Product attribute code for ""Tier Fixed Rate (per item)""",Code d'attribut de produit pour « Niveau à taux fixe (par article) »
Used to set per product fixed rate (instead of tier fixed rate),Utilisé pour régler par taux fixe de produit (au lieu de taux fixe de niveau)
Tiered Rates,Tarifs étagés
Used for transaction fee calculation,Utilisé pour le calcul des frais de transaction
Tier Commissions,Commissions de niveau
Item Price,Le Prix de l'article
* Use Global Config,* Utilisation globale Config
Vendor First,fournisseur d'abord
Tier First,premier niveau
Flat (per po),Flat (par po)
Tier (per item),Niveau (par unité)
Rule Based (per item),Règle base (par article)
Tier + Rule Based,Niveau + fondé sur des règles
Flat + Tier,Niveau plat +
Flat + Rule Based,Règle plat + base
Flat + Tier + Rule Based,Niveau plat + + fondé sur des règles
Cost for the first item,Coût pour le premier élément
Additional item cost,coût de l'article supplémentaire
Tier handling fee,Niveau frais de manutention
Use Vendor Specific Rates,Utiliser fournisseur Tarifs spécifiques
Select Delivery Type To Setup Rates,Sélectionner le type de livraison taux de configuration
V2 Simple First/Additional Rates,V2 simples Première / Tarifs supplémentaires
V2 Simple Conditional Rates,V2 simples Tarifs conditionnels
V2 Rates,V2 Tarifs
Tier Shipping,Niveau d'expédition
Method name,nom de la méthode
Use Rates Setup,Utilisez la configuration Tarifs
Use Customer Group Condition,Utiliser le groupe client Condition
Allow Vendors modify rates from vendor portal,Les vendeurs permettent de modifier les tarifs de portail fournisseur
"""Cost for the first item"" Calculation Type",« Le coût pour le premier élément » Type de calcul
"""Additional item cost"" Calculation Type",« Coût de l'article supplémentaire » Type de calcul
"""Tier handling fee"" Calculation Type",« Frais de manutention de niveau » Type de calcul
"""Tier handling fee"" Apply Method",« Frais de manutention de niveau » Appliquer la méthode
Rates Calculation Method,Tarifs Méthode de calcul
"Product attribute code for ""Cost for the first item""",Code produit attribut pour « coût pour le premier élément »
Used to set per product rates,Permet de définir par taux de ce produit
"Product attribute code for ""Additional item cost""",Code d'attribut de produit pour « coût de l'article additionnel »
"Product attribute code for ""Tier handling fee""",Code d'attribut de produit pour « frais de traitement de niveau »
Fallback lookup method,Procédé de conversion de repli
Fallback Cost for the first item,Coût pour le premier fallback article
Used when there is no matched category found,Utilisée lorsqu'il n'y a pas de catégorie assortie trouvé
Fallback Additional item cost,Fallback coût de l'article supplémentaire
Fallback Tier handling fee,frais de manutention fallback Tier
Simple Rates,Tarifs simples
Delivery Types,Types de livraison
Configure Delivery Type Rates,Configurer Tarifs Type de livraison
Select Delivery Type to load settings in V2 Rates,Sélectionner le type de livraison pour charger les paramètres de V2 Tarifs
Show method if not applicable,Afficher méthode si pas applicable
Shipping Rates,Tarif expédition
Separate per customer shipclass,Séparée par client shipclass
Base plus percent per customer shipclass,Base plus pour cent par client shipclass
Base plus fixed per customer shipclass,Base plus fixe par client shipclass
Max first item other additional,Max premier élément autre supplémentaire
Max first item (discard qty),Max premier élément (discard qté)
Sum first item other additional,Additionner le premier élément autre supplémentaire
Sum first item (discard qty),Additionner le premier élément (défausse qté)
Multiply first item (additional not used),Multiplier premier élément (supplémentaire non utilisé)
Vendor up to BASE,Fournisseur jusqu'à BASE
Vendor up to DEFAULT,Fournisseur jusqu'à DEFAULT
Vendor/Global by tier,Fournisseur / mondial par niveau
V1 Rates,V1 Tarifs
V1 Simple Rates,V1 Tarifs simples
V2 By Category/VendorClass First/Additional/Handling Rates,V2 Par Catégorie / vendorclass Première / Autres / Tarifs de manutention
Full Weight,Poids complet
Vendor Vacation Message,Vendeur Message vacances
"NOTE: Use {{vacation_end}} code for ""Vacation Ends At"" date","REMARQUE: Utilisez {{}} vacation_end code pour ""vacances se termine à"" Date"
Vacation Mode,"Mode \"" En vacances\"""
Vacation Ends At,Vacances se termine à
Not Vacation,pas de vacances
Notify Customer On Availability,Aviser le client sur la disponibilité
Disable Products,désactiver les produits
Question Details,question Détails
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
Guest,Invité
Administrator,Administrateur
Posted By,Ecrit par
Visibility,Visibilité
Question Status,question Statut
Question Text,Question Texte
Answer Status,Statut de réponse
Answer Text,réponse texte
Save Question,Enregistrer question
Delete Question,supprimer la question
Are you sure you want to do this?,Êtes-vous sûrs que vous voulez faire ceci ?
Edit Question,Modifier question
New Question,Nouvelle question
Question Date,question date de
Customer Name,Nom du Client
Answer Date,Date de réponse
Context,Contexte
Edit,Modifier 
Update Question Status,Mise à jour Question Statut
Update Answer Status,Mise à jour Statut de réponse
Send Customer Notification,Envoyer une notification à la clientèle
Send Vendor Notification,Envoyer une notification du vendeur
Pending Vendor Questions of Customer `%s`,En attendant les questions des fournisseurs de client `%s`
Pending Vendor Questions,Dans l'attente Questions fournisseurs
All Vendor Questions of Customer `%s`,Toutes les questions des fournisseurs de client `%s`
All Vendor Questions,Toutes les questions des fournisseurs
QUESTION DATE,DATE DE QUESTIONS
CUSTOMER NAME,Nom du Client
SHIPMENT,Expédition
#%s for order #%s,#% De l'ordre #%s
PRODUCT,PRESTATION
Customer email,Email au client
Vendor Questions,Questions fournisseurs
All Questions/Answers,Toutes les Questions / Réponses
Pending Questions/Answers,En attendant Questions / Réponses
Edit Vendor Question,Modifier la question du vendeur
The question was removed by another user or does not exist.,La question a été supprimée par un autre utilisateur ou n'existe pas.
The question has been saved.,La question a été enregistrée.
The question has been deleted,La question a été supprimée
Please select question(s).,S'il vous plaît sélectionner question (s).
Total of %d record(s) have been deleted.,Total de% d enregistrement (s) ont été supprimés.
Total of %d record(s) have been updated.,Total de% d enregistrement (s) ont été mis à jour.
An error occurred while updating the selected question(s).,Une erreur est survenue lors de la mise à jour la question sélectionnée (s).
Total of %d customer notification(s) have been sent.,Total de% notification client d (s) ont été envoyés.
An error occurred while sending customer notification(s).,Une erreur est survenue lors de l'envoi de la notification client (s).
Total of %d vendor notification(s) have been sent.,Total de% d la notification du fournisseur (s) ont été envoyés.
An error occurred while sending vendor notification(s).,Une erreur est survenue lors de l'envoi de notification du fournisseur (s).
My Vendor Questions,Questions Mon fournisseur
Question not found.,Question introuvable.
Your question has been accepted for moderation.,Votre question a été acceptée pour la modération.
Unable to post the question.,Impossible de poster la question.
Question was successfully saved,Question a été enregistrée avec succès
Unable to find a data to save,Impossible de trouver un ensemble de données pour sauver
Is product view info use tabbed layout,Est vue produit Information utilisation mise en page à onglets
Default Question Status,Question Statut par défaut
Default Answer Status,Statut par défaut de réponse
Show customer info to vendor,Afficher les informations du client au fournisseur
Show vendor info to customer,Salon fournisseur au client
Admin Notification Email Recipient,Avis Admin Email du destinataire
Send new customer question/vendor answer notifications to admin,Envoyer les notifications de répondre à la question client / fournisseur à l'administrateur
Admin New Question Notification Template,Admin Nouveau Question Modèle de notification
Admin Answer Notification Template,Modèle de notification de réponse Admin
Send customer/vendor notifications copy to admin,Envoyer client / notifications de vendeur copie à l'administrateur
Send vendor notifications,Envoyer des notifications de fournisseurs
Vendor Notification Template,Modèle de notification du vendeur
Send customer notifications,Envoyer des notifications des clients
Customer Notification Email Sender,Avis client Email Sender
Customer Notification Template,Modèle de notification client
Customer Questions,Questions des clients
Please enter the question text.,S'il vous plaît entrer le texte de la question.
Please enter your name.,S'il vous plaît entrez votre nom.
"Invalid email address ""%s"".",Adresse e-mail non valide « %s ».
Shipment not found.,Expédition introuvable.
Approved,Approuvé
Declined,Refusé
Private,Privé
Public,Publique
Unable to initialize Express Checkout.,Impossible d'initialiser Express Checkout.
Unable to start Express Checkout.,Impossible de démarrer Express Checkout.
Express Checkout and Order have been canceled.,Express Checkout et commande ont été annulés.
Express Checkout has been canceled.,Express Checkout a été annulée.
Unable to cancel Express Checkout.,Impossible d'annuler Express Checkout.
Unable to process Express Checkout approval.,Impossible de traiter l'approbation Express Checkout.
Unknown membership,adhésion inconnue
Vendor Membership,L'adhésion du vendeur
Membership Types,Types d'adhésion
Products Limit Exceed.,Produits Limiter Exceed.
Membership Options,Options du Membership
Template SKUs,modèle UGS
Allow vendor choose configurable attributes,Autoriser fournisseur choisir des attributs configurables
Product SKUs used as templates (per attribute set),UGS du produit utilisés comme modèles (par set attribut)
- Select %s -,- Sélectionner%s -
"Images (.gif, .jpg, .png)","Images (.gif, .jpg, .png)"
All Files,Tous les Fichiers
Samples,Echantillons
Links,Liens
Add Product Options,Ajouter Options du produit
Simples Management,gestion simples
Custom Options,Options personnalisées
Custom Options Management,Gestion des options personnalisées
Downloadable Options,Options de téléchargement 
Downloadable Options Management,Gestion des options téléchargeables
Images,Les images
Attribute Set,ensemble d'attributs
Catalog,Catalogue
Manage Products,Gérer Produit
Template Sku,modèle Sku
An error occurred while getting the requested content.,Une erreur est survenue lors de l'obtention du contenu demandé.
Forbidden,Interdi
Product was deleted,Le produit a été supprimé
Product name is invalid,Nom du produit est invalide
Product has been saved,Le produit a été sauvé
Vendor Products Edit,Produits Fournisseur Modifier
Use custom product zoom on frontend,Utilisez le zoom produit personnalisé sur frontend
Preselect configurable options,Présélectionner options configurables
Allow vendor delete products,Autoriser fournisseur supprimer des produits
Upload images into configrable simples,Télécharger des images dans configrable simples
Explicitly show media gallery in configurable product,Explicitement montrer la galerie de médias dans le produit configurable
Gallery upload is required,télécharger Galerie est nécessaire
Allow add/edit custom options,Autoriser ajouter / modifier des options personnalisées
Show vendor sku column in vendor portal products edit grid,Afficher vendeur colonne sku dans la grille des produits de portail d'édition du vendeur
Type of product,Type de produit
Create type of products here and group attribute sets per type of product,Créer un type de produits ici et définit l'attribut de groupe par type de produit
Prefix vendor created products' SKUs with vendor id,Les références de produits fournisseur de Prefix créé avec id fournisseur
Automatically generate SKUs of vendor created products,Générer automatiquement UGS des produits créés fournisseurs
Check vendor SKU is unique within vendor products,Vérifiez fournisseur SKU est unique dans les produits des fournisseurs
Unpublish vendor product on following changes,Dépublier produit du fournisseur sur les modifications suivantes
Show hidden categories to vendor if the field presented on product edit form,Afficher les catégories cachées au vendeur si le champ présenté sur le formulaire d'édition du produit
Allowed types of product,Autorisé types de produits
"Disable product name ""is empty"" check",Désactiver le nom de produit « est vide » chèque
"For some languages might not work (e.g. Arabic). In that case select ""Yes""","Pour certaines langues ne fonctionnent pas (par exemple l'arabe). Dans ce cas, sélectionnez « Oui »"
Notifications,Notification
Send vendor pending products notifications,Envoyer fournisseur de produits notifications en attente
Pending Products Vendor Notification Template,En attente des produits du fournisseur __gVirt_NP_NN_NNPS<__ Modèle de notification
Send admin pending products notifications,Envoyer des notifications de produits en attente d'administration
Pending Products Admin Notification Template,En attente Produits Admin Modèle de notification
Send vendor approved products notifications,Envoyer fournisseur approuvé par les notifications de produits
Approved Products Vendor Notification Template,Produits approuvés Modèle de notification des fournisseurs
Send admin approved products notifications,Envoyer des notifications de produits approuvés admin
Approved Products Admin Notification Template,Produits approuvés Administrateur Modèle de notification
Send vendor fix products notifications,Envoyer des notifications de produits de correctifs fournisseur
Fix Products Vendor Notification Template,Fix Produits vendeur Modèle de notification
Send admin fix products notifications,Envoyer des produits fixes admin notifications
Fix Products Admin Notification Template,Fix Produits Admin Modèle de notification
"Select Type of Product to load setting in ""Product SKUs used as templates""",Sélectionner le type de produit à charger dans la mise en « produit UGS utilisé comme modèles »
Vendor Product Edit Form,Modifier le formulaire de produit du vendeur
Add Product Options Layout,Ajouter Options du produit Mise en page
Configurable Attributes Layout,Mise en page Attributs configurables
Configurable Attributes Column Title,Attributs Configurable colonne Titre
"Applicable only if ""Configurable Attributes"" Layout is ""One Column""",Applicable uniquement si « Attributs Configurable » Mise en page est « une colonne »
Columns,Colonnes
Stock Data,Stock de données
"Vendor SKU ""%s"" is already used","SKU Vendor ""%s"" est déjà utilisé"
In Stock,En stock 
Out of Stock,Stock épuisé 
Stock Item Fields,Les champs Stock d'article
Categories,Catégories
Manage Stock,gérer Stock
Qty for Item\'s Status to Become Out of Stock,Quantité pour le point d \ 'Etat pour devenir Hors Stock
Minimum Qty Allowed in Shopping Cart,Nombre minimum autorisé dans le panier
Maximum Qty Allowed in Shopping Cart,Nombre maximum autorisé dans le panier
Vendor SKU ,SKU fournisseur 
Vendor Stock Qty ,Fournisseur Stock Quantité 
Vendor Cost ,Coût du vendeur 
Vendor Status ,État du prestataire 
Vendor Backorders ,Backorders Vendor 
Vendor Price ,Prix du prestataire 
Vendor Group Price ,Groupe fournisseur Prix 
Vendor Tier Price ,Niveau vendeur Prix 
Vendor Special Price ,Prix ??spécial fournisseur 
Vendor Special From Date ,Vendeur spécial Date d'entrée 
Vendor Special To Date ,Fournisseur spécial à ce jour 
Vendor Free Shipping ,Livraison gratuite fournisseur 
Vendor Shipping Price ,Livraison Vendeur Prix 
Vendor State(Condition) ,État du vendeur (condition) 
Vendor State Description ,Description de l'éditeur d'État 
Vendor Title ,Titre du vendeur 
State (Condition),État (Condition)
State description,Description de l'Etat
Group Price,Prix ??de groupe
Tier Price,Prix ??de palier
Vendor Special Price,Prix ??spécial fournisseur
Vendor Special From Date,Vendeur spécial Date d'entrée
Vendor Special To Date,Fournisseur spécial à ce jour
Is Free Shipping,Est-Livraison gratuite
Vendor Backorders,Backorders Vendor
"SKU ""%s"" is already used",SKU « %s » est déjà utilisé
Removed Image(s),Image Removed (s)
Added Image(s),Image ajoutée (s)
Fix,Réparer
Discard,Écarter
Vacation,En vacances
Suspended,En pause
-- Please Select --,--sélectionnez--
Yes and hide per option upload,Oui et se cacher par option télécharger
One Column,One column:
Separate Columns,Colonnes séparées
None,Aucun
New Product,Nouveau Produit
Image Added,Ajouté Image
Image Removed,image Removed
Configurable Simple Added,Ajouté Simple Configurable
Configurable Simple Removed,Simple Configurable Removed
Attribute Value Changed,Attribut Valeur Changé
Stock Changed,Stock changé
Custom Options Changed,Options personnalisées Changé
* None *,- Aucun -
* All *,Tout
Out of stock,Rupture de stock 
In stock,En stock
Published,Publié
Under Review,À l'étude
Description,Description 
Uses per Coupon,Utilise par coupon
Uses per Customer,Utilise par client
Usage limit enforced for logged in customers only,Limite d'utilisation forcée pour les clients connecté uniquement
Coupon,Coupon de réduction
Coupon Code,Code Promo
Use Auto Generation,Utilisation de la génération automatique
If you select and save the rule you will be able to generate multiple coupon codes.,"Si vous sélectionnez et enregistrez la règle, vous serez en mesure de générer plusieurs codes promo."
Conditions [Apply the rule only if the following conditions are met (leave blank for all products)],Conditions [appliquer la règle uniquement si les conditions suivantes sont remplies (laisser vide pour tous les produits)]
Conditions,Circonstances
Actions,actions
Apply,Postuler
Percent of product price discount,Pour cent des prix des produits de réduction
Fixed amount discount,Réduction de montant fixe
Fixed amount discount for whole cart,Réduction de montant fixe pour l'ensemble panier
Buy X get Y free (discount amount is Y),Acheter X Y obtenir gratuitement (montant de la remise est Y)
Discount Amount,Montant du rabais
Maximum Qty Discount is Applied To,Remise Qté maximale est appliquée à
Discount Qty Step (Buy X),Remise Qté Etape (Acheter X)
Apply to Shipping Amount,Appliquer à la navigation Montant
Free Shipping,Livraison Gratuite
For matching items only,Pour les articles correspondant uniquement
For shipment with matching items,Pour l'expédition avec des articles correspondant à
