Download Labels,Download de etiquetas
Paid amount of %s.,Quantidade paga de% s.
Sale,Venda
Update Qty\'s,Atualizar Qtds
Create Purchase Orders,Criar pedidos
New Purchase Orders for Order #%s,Novas ordens de compra para a ordem #% s
Save Costs Update,Atualização de custos
Edit Costs for Purchase Orders #%s,Editar custos para ordens de compra #% s
Purchase Order #,Ordem de compra #
Purchase Order Created,Ordem de Compra Criado
Stock Vendor,Vendedor
Excel,Excel
PDF Purchase Orders,Pedidos de compra em PDF
Resend Vendor PO Notification,Reenviar Notificação do Fornecedor
Delete POs and Notify Vendors,Excluir pedidos e notificar fornecedores
Information,Em formação
Order Information,Informação da encomenda
Cannot get the order instance.,Não é possível obter a instância da ordem.
Purchase Order View,Ver Ordem de Compra
Edit Costs,Editar Custos
Create Shipment,Criar Envio
Print,Impressão
Purchase Order #%1$s | %2$s,Ordem de Compra #% 1 $ s | % 2 $ s
Purchase Orders,Ordens de compra
PO Subtotal,PO Subtotal
PO Total Cost,PO Custo total
PO Tax Amount,Montante do imposto de OP
PO Total Qty,Quantidade total de pedidos
Dropship Advanced PO Details Report,Dropship Advanced PO Details Report
Dropship Advanced PO Item Details Report,Dropship Advanced PO Detalhes do item Relatório
Date Created,Data Criada
New Shipment for PO #%s [Order #%s],Nova remessa para PO #% s [Ordem #% s]
This purchase order no longer exists.,Esta ordem de compra não existe mais.
Sales,Vendas
Shipments,Envios
The po no longer exists.,O po já não existe.
Cannot do shipment for the po.,Não pode fazer a remessa para o po.
New Shipment,Nova remessa
The shipment has been created.,A remessa foi criada.
Shipment was succesfully invoiced,A remessa foi faturada com êxito
Shipment was not invoiced,A remessa não foi faturada
Cannot initialize shipment.,Não é possível inicializar a remessa.
Cannot save shipment.,Não é possível salvar a remessa.
This order no longer exists.,Esta ordem não existe mais.
Cannot create PO with this qtys,Não é possível criar PO com este qtys
Cannot update item quantity.,Não é possível atualizar a quantidade do item.
PO was successfully deleted,PO foi excluído com êxito
Cannot delete PO.,Não é possível excluir PO.
New Purchase Order,Nova ordem de compra
View Purchase Order,Exibir ordem de compra
Created %s Purchase Orders,Pedidos de compra criados% s
Cannot save po.,Não é possível salvar po.
Canceled purchase order cannot be reverted,A ordem de compra cancelada não pode ser revertida
%s items were canceled,% S itens foram cancelados
There were no items to cancel that match requested condition,Não havia itens para cancelar essa condição de correspondência solicitada
Status cannot be changed to canceled because po still have processing items,Status não pode ser alterado para cancelado porque po ainda tem itens de processamento
Po Status changed to canceled,Po Status alterado para cancelado
Cannot change status from %s to %s,Não é possível alterar o status de% s para% s
Costs were successfully updated,Os custos foram atualizados com sucesso
%s POs deleted.,% S POs excluídos.
Cannot save delete POs.,Não é possível salvar as ordens de saída.
Purchase order status has been changed,O status da ordem de compra foi alterado
Cannot change purchase order status,Não é possível alterar o status da ordem de compra
No purchase orders found for these criteria,Nenhuma ordem de compra encontrada para esses critérios
Purchase Order status has been updated for the selected orders,O status da ordem de compra foi atualizado para os pedidos selecionados
%s printed purchase order pdf,% S ordem de compra impressa pdf
Created %d shipments,Criado% d remessas
Sent %d shipment customer notifications,Enviadas notificações de clientes de envio do% d
Vendor specific custom text on the bottom of purchase order PDF,Texto personalizado específico do fornecedor na parte inferior da ordem de compra PDF
View Order Costs,Ver custos de encomenda
View PO Costs,Ver custos de OP
Edit PO Costs,Editar custos de OP
Advanced PO Details,Detalhes da OP Avançada
Advanced PO Item Details,Advanced PO Detalhes do item
Shipment Details,Detalhes da remessa
Purchase Order Options,Opções da ordem de compra
Autoinvoice shipment,Envio de confirmação automática
Auto-Invoice on these shipment statuses,Auto-Fatura nestes status de remessa
Default PO Status,Status do pedido padrão
Default Virtual PO Status,Status de pedido virtual padrão
PO Increment Type,Tipo de Incremento de PO
Shipment Increment Type,Tipo de incremento de remessa
Attach PO Pdf to Vendor Notification,Anexar PO Pdf à Notificação do Fornecedor
Make PO Ready to Ship on Printing PO PDF,Fazer PO pronto para enviar na impressão PO PDF
New PO Vendor Notification Template,Novo modelo de notificação de fornecedor de PO
PO Comment Vendor Notification Template,PO Comentário Modelo de notificação de fornecedor
Allow change costs when manualy create po,Permitir custos de mudança quando manualmente criar po
Default custom text on the bottom of purchase order PDF,Texto personalizado padrão na parte inferior da ordem de compra PDF
Default Statement on following PO statuses,Declaração padrão sobre os seguintes status de pedido
Default Customer Shipment Status,Status padrão de envio do cliente
Restrict PO statuses in vendor interface,Restringir status de pedido na interface do fornecedor
Available PO statuses in vendor interface,Status dos pedidos disponíveis na interface do fornecedor
Allowed forced PO status change,Mudança de status do PO forçado permitido
Hide shipping amount in po pdf,Esconder o valor do envio em pdf
Vendor Shipment Comments Email Subject,Envio de Fornecedores Comentários Email Assunto
Vendor Shipment Comments Template,Modelo de Comentários de Remessa de Fornecedor
Vendor PO Comments Email Subject,Fornecedor PO Comentários Email Assunto
Vendor PO Comments Template,Modelo de comentários do fornecedor PO
Hide vendors that failed stock check on admin area Create PO page,Ocultar fornecedores que falharam na verificação de estoque na área de administração Criar página do PO
Cannot autoinvoice shipment # %s,Não é possível efetuar a remessa automática #% s
Cannot autoinvoice shipment # %s: order payment method does not allow partial capture,Não é possível enviar a remessa automática #% s: o método de pagamento de ordens não permite a captura parcial
Cannot autoinvoice shipment # %s: order payment method does not allow online capture,Não é possível enviar a remessa automática #% s: o método de pagamento do pedido não permite a captura on-line
created invoice # %s for shipment # %s,Criou a fatura #% s para remessa #% s
Autoinvoice Error for shipment # %s: %s,Autoinvoice Erro na remessa #% s:% s
"Invalid qty to ship for item ""%s","Quantidade inválida para enviar para o item ""% s"
"Invalid qty to invoice for item ""%s","Quantidade inválida para faturar o item ""% s"
Shipment was not created due to label request error: %s,A remessa não foi criada devido ao erro de solicitação de etiqueta:% s
Shipment was deleted due to label request error: %s,A remessa foi excluída devido ao erro de solicitação de etiqueta:% s
Shipment was canceled due to label request error: %s,A remessa foi cancelada devido ao erro de solicitação de etiqueta:% s
[%s changed PO status from '%s' to '%s'],[% S alterou o status do pedido de '% s' para '% s']
[PO status changed from '%s' to '%s'],[Status do pedido alterado de '% s' para '% s']
%s tried to change PO status from '%s' to '%s,% S tentou alterar o status do pedido de '% s' para '% s
Create PO,Criar PO
ORDER WAS CANCELED,A encomenda foi cancelada
Grand Total,Total geral
Grand Totals,Principais totais
Extra Adjustments,Ajustes Extra
"Invalid qty to create purchase order for item ""%s","Quantidade inválida para criar o pedido do item ""% s"
Purchase Order # %s: (%s)\n%s,Ordem de Compra #% s: (% s) \ n% s
Cannot create an empty purchase order.,Não é possível criar uma ordem de compra vazia.
Partially Shipped,enviado parcialmente
Ready for stock PO,Pronto para estoque PO
Exported stock PO,Estoque exportado PO
Received stock PO,Estoque recebido PO
Magento Native,Magento Native
Order Based,Baseado em Pedidos
Trigger whole order invoice,Acionar a fatura de pedido inteira
PO Based,Baseado em PO
* Email notification By Status,* Notificação de e-mail por status
Unirgy_DropshipPo module does not support this version of magento,O módulo Unirgy_DropshipPo não suporta esta versão do magento
Is Featured,É Destaque
Change Is Featured,A mudança está em destaque
My Sell List,Minha Lista de Vendas
Sell Yours,Venda seu
Relevance,Relevância
There was an error while updating vendor(s) is featured,Ocorreu um erro ao atualizar o (s) fornecedor (es)
You already selling this item,Você já vendeu este item
The request to sell this product need to be approved by admin,O pedido de venda deste produto precisa ser aprovado pelo administrador
Your sell request was succesfully submitted,Sua solicitação de venda foi enviada com êxito
Empty sell request form data,Dados vazios do formulário de solicitação de venda
All Offers,Todas as Ofertas
Dropship Sell Yours,Dropship vende os seus
Sell Yours Form,Venda seu formulário
Add Product Options Fields,Adicionar campos de opções do produto
Vendor Specific Fields,Campos específicos do fornecedor
This customer username already exists.,Esse nome de usuário do cliente já existe.
Account Type,tipo de conta
Basic,Básico
Pro,Pró
Customer Ship Class Information,Informações sobre a classe de envio do cliente
Class Name,Nome da classe
Countries,Países
Save Customer Ship Class,Salvar classe de envio de cliente
Delete Customer Ship Class,Excluir classe de envio de cliente
Edit Customer Ship Class '%s,Editar Classe de envio do cliente '%s
New Customer Ship Class,Classe de navio de novo cliente
State/Region,Estado / Região
Zip/Post Code,Código postal
Customer Ship Classes,Classes de navio do cliente
Vendor Ship Class Information,Informações sobre a classe de navio do fornecedor
Save Vendor Ship Class,Salvar a Classe do Vendedor do Navio
Delete Vendor Ship Class,Excluir classe do navio do fornecedor
Edit Vendor Ship Class '%s,Editar a Classe de Fornecedor do Navio '% s
New Vendor Ship Class,Nova Classe de Vendedor de Navios
Vendor Ship Classes,Classes de Navios Fornecedores
This class no longer exists,Esta classe não existe mais
"%s"" Customer Ship Class","% S ""Classe de navio do cliente"
Edit Class,Editar classe
New Class,Nova classe
Edit Customer Ship Class,Editar a classe de envio do cliente
The customer ship class has been saved.,A classe ship do cliente foi salva.
An error occurred while saving this customer ship class.,Ocorreu um erro ao salvar esta classe de navio cliente.
The ship class has been deleted.,A classe de navio foi excluída.
An error occurred while deleting this ship class.,Ocorreu um erro ao excluir esta classe de navio.
"%s"" Vendor Ship Class","% S ""Classe de Navio Fornecedor"
Edit Vendor Ship Class,Editar classe de fornecedor de navio
The vendor ship class has been saved.,A classe de fornecedor foi salva.
An error occurred while saving this vendor ship class.,Ocorreu um erro ao salvar esta classe de fornecedor.
Shipping Classes,Classes de envio
An error occurred while saving this ship class. A class with the same name already exists.,Ocorreu um erro ao salvar esta classe de navio. Já existe uma classe com o mesmo nome.
Customer Ship Class,Classe de navio do cliente
Vendor Ship Class,Classe Vendedor de Navios
* Other Vendor,* Outro Fornecedor
* Other Customer,* Outros clientes
Drop Shipping (Split Rates),Envio Drop (Split Rates)
Displayed Error Message,Mensagem de erro exibida
Hide vendor names on checkout,Ocultar nomes de fornecedores no checkout
Hide items amounts and subtotal on shipping method page,Ocultar quantidades de itens e subtotal na página do método de remessa
Check for external checkout usage,Verifique se há uso de check-out externo
Dispatch external checkout check events,Enviar eventos de verificação externa de checkout
"'Yes' will dispatch events that should do extra check of external checkout usage. <br>
                                Events: udsplit_check_is_external_checkout, udsplit_check_is_paypal_express, udsplit_check_is_google_checkout
                            ","'Sim' irá despachar eventos que devem fazer verificação extra do uso de check-out externo.
                                Eventos: udsplit_check_is_external_checkout, udsplit_check_is_paypal_express, udsplit_check_is_google_checkout
                            "
Total,Total
Rates Definition,Definição de Preços
Commission fallback lookup method,Método de pesquisa de fallback da Comissão
Rates,Preços
Fixed Rates Calculation Type,Tipo de cálculo das taxas fixas
Default Commission Percent,Porcentagem padrão da Comissão
<br />Default value: %.2F. Leave empty to use default.,<br /> Valor padrão:% .2F. Deixe vazio para usar o padrão.
Fixed Flat Rate (per po) [old transaction fee],Fixed Flat Rate (por po) [taxa de transação antiga]
Rule for Fixed Rates,Regra para Tarifas Fixas
Rule Based Fixed Rates,Taxas Fixas Baseadas em Regras
Tier Commission,Comissão de Nível
Parent category for tiered categories,Categoria principal para categorias hierárquicas
Match Subcategories,Comparar Subcategorias
"Product attribute code for ""Commission percent""","Código de atributo do produto para ""Percentagem da Comissão"""
Used to set per product commission percent (instead of tier commission percent),Usado para definir por porcentagem de comissão de produto (em vez de porcentagem de comissão de nível)
"Product attribute code for ""Tier Fixed Rate (per item)""","Código de atributo do produto para ""Taxa fixa de nível (por item)"""
Used to set per product fixed rate (instead of tier fixed rate),Usado para definir por produto taxa fixa (em vez de taxa fixa de camada)
Tiered Rates,Tarifas escalonadas
Used for transaction fee calculation,Usado para cálculo de taxa de transação
Tier Commissions,Comissões de Nível
Item Price,Preço do item
* Use Global Config,* Usar configuração global
Vendor First,Fornecedor Primeiro
Tier First,Nível Primeiro
Flat (per po),Flat (por po)
Tier (per item),Nível (por item)
Rule Based (per item),Baseado em Regras (por item)
Tier + Rule Based,Nível + Baseado em Regras
Flat + Tier,Flat + Tier
Flat + Rule Based,Baseado em Regras
Flat + Tier + Rule Based,Flat + Tier + baseado em regras
Cost for the first item,Custo para o primeiro item
Additional item cost,Custo do item adicional
Tier handling fee,Taxa de tratamento de nível
Use Vendor Specific Rates,Use as taxas específicas do fornecedor
Select Delivery Type To Setup Rates,Selecione o tipo de entrega para as taxas de configuração
V2 Simple First/Additional Rates,V2 Simple Primeiro / Tarifas Adicionais
V2 Simple Conditional Rates,V2 taxas condicionais simples
V2 Rates,V2 Preços
Tier Shipping,Envio de camadas
Method name,Nome do método
Use Rates Setup,Configuração de taxas de utilização
Use Customer Group Condition,Usar a condição do grupo de clientes
Allow Vendors modify rates from vendor portal,Permitir que os fornecedores alterem as tarifas do portal do fornecedor
"""Cost for the first item"" Calculation Type",Custo do primeiro item Tipo de Cálculo
"""Additional item cost"" Calculation Type",Custo do item adicional Tipo de cálculo
"""Tier handling fee"" Calculation Type",Taxa de tratamento de nível Tipo de cálculo
"""Tier handling fee"" Apply Method",Taxa de Manuseio de Nível Aplicar Método
Rates Calculation Method,Método de cálculo das taxas
"Product attribute code for ""Cost for the first item""","Código de atributo do produto para ""Custo para o primeiro item"""
Used to set per product rates,Usado para definir as taxas por produto
"Product attribute code for ""Additional item cost""","Código de atributo do produto para ""Custo de item adicional"""
"Product attribute code for ""Tier handling fee""","Código de atributo do produto para ""Taxa de tratamento de nível"""
Fallback lookup method,Método de pesquisa de retorno
Fallback Cost for the first item,Custo de reposição para o primeiro item
Used when there is no matched category found,Usado quando não há nenhuma categoria correspondente encontrada
Fallback Additional item cost,Custo de item adicional
Fallback Tier handling fee,Taxa de manuseio da taxa de reposição
Simple Rates,Taxas Simples
Delivery Types,Tipos de Entrega
Configure Delivery Type Rates,Configurar Taxas de Tipo de Entrega
Select Delivery Type to load settings in V2 Rates,Selecione Tipo de entrega para carregar as configurações em V2 Tarifas
Show method if not applicable,Mostrar método se não aplicável
Shipping Rates,Taxas de envio
Separate per customer shipclass,Separado por cliente shipclass
Base plus percent per customer shipclass,Base mais porcentagem por cliente shipclass
Base plus fixed per customer shipclass,Base mais fixo por cliente shipclass
Max first item other additional,Max primeiro item outros adicionais
Max first item (discard qty),Máximo primeiro item (quantidade de descarte)
Sum first item other additional,Soma primeiro item outros adicionais
Sum first item (discard qty),Soma primeiro item (quantidade de descarte)
Multiply first item (additional not used),Multiplicar primeiro item (adicional não usado)
Vendor up to BASE,Fornecedor até BASE
Vendor up to DEFAULT,Fornecedor até DEFAULT
Vendor/Global by tier,Fornecedor / Global por camadas
V1 Rates,V1 Preços
V1 Simple Rates,V1 Preços Simples
V2 By Category/VendorClass First/Additional/Handling Rates,V2 Por Categoria / VendorClass Primeiro / Adicional / Taxas de Manuseio
Full Weight,Peso Total
Vendor Vacation Message,Mensagem de férias do fornecedor
"NOTE: Use {{vacation_end}} code for ""Vacation Ends At"" date","OBSERVAÇÃO: Use o código {{vacation_end}} para a data ""Vacation Ends At"""
Vacation Mode,Modo de férias
Vacation Ends At,Férias termina em
Not Vacation,Não férias
Notify Customer On Availability,Notificar ao Cliente sobre Disponibilidade
Disable Products,Desativar produtos
Question Details,Detalhes da pergunta
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">% 2 $ s% 3 $ s </a> <a href=""mailto:%4$s""> ( % 4 $ s) </a>"
Guest,Convidado
Administrator,Administrador
Posted By,Postado por
Visibility,Visibilidade
Question Status,Pergunta Status
Question Text,Texto da pergunta
Answer Status,Respondido Status
Answer Text,Respondido Text
Save Question,Salvar pergunta
Delete Question,Excluir pergunta
Are you sure you want to do this?,Você tem certeza de que quer fazer isso?
Edit Question,Editar pergunta
New Question,Nova pergunta
Question Date,Data da pergunta
Customer Name,nome do cliente
Answer Date,Resposta Data
Context,Contexto
Edit,Editar
Update Question Status,Estado da pergunta de atualização
Update Answer Status,Atualizar status da resposta
Send Customer Notification,Enviar notificação ao cliente
Send Vendor Notification,Enviar Notificação de Fornecedor
Pending Vendor Questions of Customer `%s`,Perguntas pendentes do fornecedor do cliente `% s`
Pending Vendor Questions,Perguntas pendentes do fornecedor
All Vendor Questions of Customer `%s`,Todas as Questões de Fornecedor do Cliente `% s`
All Vendor Questions,Todas as perguntas do fornecedor
QUESTION DATE,DATA DA PERGUNTA
CUSTOMER NAME,NOME DO CLIENTE
SHIPMENT,ENVIO
#%s for order #%s,#% S para a ordem #% s
PRODUCT,PRODUTOS
Customer email,Email do cliente
Vendor Questions,Perguntas do Vendedor
All Questions/Answers,Todas as perguntas / respostas
Pending Questions/Answers,Perguntas / Respostas Pendentes
Edit Vendor Question,Editar pergunta do fornecedor
The question was removed by another user or does not exist.,A questão foi removida por outro usuário ou não existe.
The question has been saved.,A pergunta foi salva.
The question has been deleted,A pergunta foi eliminada
Please select question(s).,"Por favor, selecione a (s) pergunta (s)."
Total of %d record(s) have been deleted.,Total de% d registro (s) foram excluídos.
Total of %d record(s) have been updated.,Total de% d registro (s) foram atualizados.
An error occurred while updating the selected question(s).,Ocorreu um erro ao atualizar a (s) pergunta (s) selecionada (s).
Total of %d customer notification(s) have been sent.,Total de% d notificações de clientes foram enviadas.
An error occurred while sending customer notification(s).,Ocorreu um erro ao enviar notificações ao cliente.
Total of %d vendor notification(s) have been sent.,Total de% d notificações de fornecedor foram enviadas.
An error occurred while sending vendor notification(s).,Ocorreu um erro ao enviar notificações de fornecedor.
My Vendor Questions,Perguntas sobre o meu fornecedor
Question not found.,Pergunta não encontrada.
Your question has been accepted for moderation.,Sua pergunta foi aceita para moderação.
Unable to post the question.,Não é possível postar a pergunta.
Question was successfully saved,A pergunta foi salva com êxito
Unable to find a data to save,Não é possível encontrar dados para salvar
Is product view info use tabbed layout,A exibição de produtos usa um layout tabulado
Default Question Status,Status da pergunta padrão
Default Answer Status,Status da resposta padrão
Show customer info to vendor,Mostrar informações do cliente ao fornecedor
Show vendor info to customer,Mostrar informações do fornecedor para o cliente
Admin Notification Email Recipient,Destinatário de email de notificação de administrador
Send new customer question/vendor answer notifications to admin,Enviar notificações de resposta de novos clientes / fornecedores a admin
Admin New Question Notification Template,Novo modelo de notificação de pergunta do Admin
Admin Answer Notification Template,Modelo de notificação de resposta do administrador
Send customer/vendor notifications copy to admin,Enviar notificações de cliente / vendedor para admin
Send vendor notifications,Enviar notificações de fornecedor
Vendor Notification Template,Modelo de notificação de fornecedor
Send customer notifications,Enviar notificações ao cliente
Customer Notification Email Sender,Envio de e-mail de notificação de cliente
Customer Notification Template,Modelo de notificação de cliente
Customer Questions,Perguntas do cliente
Please enter the question text.,Digite o texto da pergunta.
Please enter your name.,"Por favor, insira seu nome."
"Invalid email address ""%s"".","Endereço de e-mail inválido ""% s""."
Shipment not found.,Envio não encontrado.
Approved,Aprovado
Declined,Recusou
Private,Privado
Public,Público
Unable to initialize Express Checkout.,Não foi possível inicializar o Checkout expresso.
Unable to start Express Checkout.,Não é possível iniciar o Checkout expresso.
Express Checkout and Order have been canceled.,O Checkout e Pedido Expresso foram cancelados.
Express Checkout has been canceled.,O Checkout expresso foi cancelado.
Unable to cancel Express Checkout.,Não foi possível cancelar o Checkout expresso.
Unable to process Express Checkout approval.,Não foi possível processar a aprovação do Check-out expresso.
Unknown membership,Associação desconhecida
Vendor Membership,Membro Vendedor
Membership Types,Tipos de associação
Products Limit Exceed.,Produtos Limite Exceder.
Membership Options,Opções de associação
Template SKUs,Modelos de SKUs
Allow vendor choose configurable attributes,Permitir que o fornecedor escolha atributos configuráveis
Product SKUs used as templates (per attribute set),SKUs de produto usados ??como modelos (por conjunto de atributos)
- Select %s -,- Selecionar% s -
"Images (.gif, .jpg, .png)","Imagens (.gif, .jpg, .png)"
All Files,Todos os arquivos
Samples,Amostras
Links,Links
Add Product Options,Adicionar opções de produto
Simples Management,Simples Gestão
Custom Options,Opções personalizadas
Custom Options Management,Gerenciamento de opções personalizadas
Downloadable Options,Opções para download
Downloadable Options Management,Gerenciamento de opções para download
Images,Imagens
Attribute Set,Conjunto de Atributos
Catalog,Catálogo
Manage Products,Gerenciar produtos
Template Sku,Modelo Sku
An error occurred while getting the requested content.,Ocorreu um erro ao obter o conteúdo solicitado.
Forbidden,Proibido
Product was deleted,O produto foi excluído
Product name is invalid,O nome do produto é inválido
Product has been saved,O produto foi salvo
Vendor Products Edit,Produtos de fornecedor Editar
Use custom product zoom on frontend,Usar o zoom personalizado do produto no frontend
Preselect configurable options,Selecionar opções configuráveis
Allow vendor delete products,Permitir que o fornecedor exclua produtos
Upload images into configrable simples,Carregar imagens em simples configrable
Explicitly show media gallery in configurable product,Explicitamente mostrar galeria de mídia em produtos configuráveis
Gallery upload is required,O upload da galeria é obrigatório
Allow add/edit custom options,Permitir adicionar / editar opções personalizadas
Show vendor sku column in vendor portal products edit grid,Mostrar a coluna sku do fornecedor na grade de edição de produtos do portal do fornecedor
Type of product,Tipo de produto
Create type of products here and group attribute sets per type of product,Criar tipos de produtos aqui e agrupar conjuntos de atributos por tipo de produto
Prefix vendor created products' SKUs with vendor id,Prefixo fabricante de produtos criados 'SKUs com identificação do fornecedor
Automatically generate SKUs of vendor created products,Gerar automaticamente SKUs de produtos criados por fornecedores
Check vendor SKU is unique within vendor products,Verifique o SKU do fornecedor é único dentro dos produtos do fornecedor
Unpublish vendor product on following changes,Anular a publicação do produto do fornecedor nas seguintes alterações
Show hidden categories to vendor if the field presented on product edit form,Mostrar categorias ocultas para o fornecedor se o campo apresentado no formulário de edição do produto
Allowed types of product,Tipos de produtos permitidos
"Disable product name ""is empty"" check","Desativar o nome do produto ""está vazio"" check"
"For some languages might not work (e.g. Arabic). In that case select ""Yes""","Para alguns idiomas pode não funcionar (por exemplo, árabe). Nesse caso, selecione ""Sim"""
Notifications,Notificações
Send vendor pending products notifications,Enviar notificações de produtos pendentes do fornecedor
Pending Products Vendor Notification Template,Modelo de notificação de fornecedor de produtos pendentes
Send admin pending products notifications,Enviar notificações de produtos pendentes do administrador
Pending Products Admin Notification Template,Modelo de notificação de administração de produtos pendentes
Send vendor approved products notifications,Enviar notificações de produtos aprovados pelo fornecedor
Approved Products Vendor Notification Template,Modelo de Notificação de Fornecedor de Produtos Aprovados
Send admin approved products notifications,Enviar notificações de produtos aprovados pelo administrador
Approved Products Admin Notification Template,Modelo de Notificação Administrada de Produtos Aprovados
Send vendor fix products notifications,Enviar notificações de produtos de correção de fornecedores
Fix Products Vendor Notification Template,Modelo de Notificação de Fornecedores de Produtos Fixos
Send admin fix products notifications,Enviar notificações de administração de produtos correcionais
Fix Products Admin Notification Template,Modelo de Notificação de Administrador de Produtos Fixos
"Select Type of Product to load setting in ""Product SKUs used as templates""","Selecione o tipo de produto a ser carregado em ""SKUs de produtos usados ??como modelos"""
Vendor Product Edit Form,Formulário de edição do produto do fornecedor
Add Product Options Layout,Adicionar opções de produtos Layout
Configurable Attributes Layout,Layout de Atributos Configuráveis
Configurable Attributes Column Title,Título da coluna de atributos configuráveis
"Applicable only if ""Configurable Attributes"" Layout is ""One Column""","Aplicável somente se ""Layout de Atributos Configuráveis"" for ""Uma Coluna"""
Columns,Colunas
Stock Data,Dados de estoque
"Vendor SKU ""%s"" is already used","A SKU do fornecedor ""% s"" já está sendo usada"
In Stock,Em estoque
Out of Stock,Fora de estoque
Stock Item Fields,Campos de estoque
Categories,Categorias
Manage Stock,Gerenciar ações
Qty for Item\'s Status to Become Out of Stock,Qtd. Para que o status do item fique fora de estoque
Minimum Qty Allowed in Shopping Cart,Quantidade mínima permitida no carrinho de compras
Maximum Qty Allowed in Shopping Cart,Quantidade máxima permitida no carrinho de compras
Vendor SKU ,SKU do fornecedor
Vendor Stock Qty ,Quantidade de estoque do fornecedor
Vendor Cost ,Custo do Fornecedor
Vendor Status ,Status do fornecedor
Vendor Backorders ,Backorders do fornecedor
Vendor Price ,Preço do fornecedor
Vendor Group Price ,Preço do Grupo Fornecedor
Vendor Tier Price ,Fornecedor Preço Tier
Vendor Special Price ,Vendor Preço Especial
Vendor Special From Date ,Especial do fornecedor a partir da data
Vendor Special To Date ,Especial do fornecedor até à data
Vendor Free Shipping ,Vendedor Frete Grátis
Vendor Shipping Price ,Preço de envio do fornecedor
Vendor State(Condition) ,Estado Fornecedor (Condição)
Vendor State Description ,Descrição do estado do fornecedor
Vendor Title ,Título do fornecedor
State (Condition),Estado (Condição)
State description,Descrição do estado
Group Price,Preço do Grupo
Tier Price,Preço Tier
Vendor Special Price,Vendor Preço Especial
Vendor Special From Date,Especial do fornecedor a partir da data
Vendor Special To Date,Especial do fornecedor até à data
Is Free Shipping,É frete grátis
Vendor Backorders,Backorders do fornecedor
"SKU ""%s"" is already used","SKU ""% s"" já está sendo usado"
Removed Image(s),Imagem (s) removida (s)
Added Image(s),Imagem (ns) adicionada (s)
Fix,Consertar
Discard,Descartar
Vacation,Período de férias
Suspended,Suspenso
-- Please Select --,-- Por favor selecione --
Yes and hide per option upload,Sim e ocultar por opção de upload
One Column,Uma coluna
Separate Columns,Colunas separadas
None,Nenhum
New Product,Novo produto
Image Added,Imagem adicionada
Image Removed,Imagem removida
Configurable Simple Added,Configurable Simple Adicionado
Configurable Simple Removed,Configurable Simple Removed
Attribute Value Changed,Valor do atributo alterado
Stock Changed,Estoque alterado
Custom Options Changed,Opções personalizadas alteradas
* None *,* Nenhum *
* All *,* Todos *
Out of stock,Fora de estoque
In stock,Em estoque
Published,Publicados
Under Review,Sob revisão
Description,Descrição
Uses per Coupon,Usos por Cupom
Uses per Customer,Usos por cliente
Usage limit enforced for logged in customers only,Limite de uso aplicado apenas para clientes conectados
Coupon,Cupom
Coupon Code,Código do cupom
Use Auto Generation,Usar geração automática
If you select and save the rule you will be able to generate multiple coupon codes.,"Se você selecionar e salvar a regra, será capaz de gerar vários códigos de cupom."
Conditions [Apply the rule only if the following conditions are met (leave blank for all products)],Condições [Aplicar a regra somente se as seguintes condições forem cumpridas (deixe em branco para todos os produtos)]
Conditions,Condições
Actions,Ações
Apply,Aplique
Percent of product price discount,Percentagem do desconto do preço do produto
Fixed amount discount,Desconto de quantidade fixa
Fixed amount discount for whole cart,Desconto de quantidade fixa para carrinho inteiro
Buy X get Y free (discount amount is Y),Comprar X obter Y grátis (quantidade de desconto é Y)
Discount Amount,Valor do desconto
Maximum Qty Discount is Applied To,O desconto de quantidade máxima é aplicado a
Discount Qty Step (Buy X),Desconto Qtde Passo (Comprar X)
Apply to Shipping Amount,Aplicar ao valor do envio
Free Shipping,Frete grátis
For matching items only,Apenas para itens correspondentes
For shipment with matching items,Para remessa com itens correspondentes
Actions Filter [Apply the rule only to cart items matching the following conditions (leave blank for all items)],Filtro de ações [Aplicar a regra somente aos itens de carrinho que correspondam às seguintes condições (deixe em branco para todos os itens)]
Apply To,Aplicar a
Coupons,Cupões
Coupons Information,Informações sobre cupões
Coupon Qty,Quantidade do cupão
Code Length,Comprimento do código
"Excluding prefix, suffix and separators.","Excluindo prefixo, sufixo e separadores."
Code Format,Formato de código
Code Prefix,Prefixo de código
Code Suffix,Sufixo de código
Dash Every X Characters,Traço Todos os Personagens X
If empty no separation.,Se vazio sem separação.
Wrong rule specified.,Regra errada especificada.
The rule has been saved.,A regra foi salva.
An error occurred while saving the rule data. Please review the log and try again.,Ocorreu um erro ao salvar os dados da regra. Revise o log e tente novamente.
Rating Title,Classificação Título
Is Aggregatable,É agregável
Default Value,Valor padrão
Rating Visibility,Avaliação Visibilidade
Visible In,Visível em
"If you do not specify a rating title for a store, the default value will be used.","Se você não especificar um título de classificação para uma loja, o valor padrão será usado."
Assigned Options,Opções atribuídas
Option Label,Etiqueta de opção
Rating Information,Avaliação de Informações
Rating Options,Opções de Rating
Save Rating,Guardar classificação
Delete Rating,Eliminar Classificação
Edit Rating,Editar classificação
New Rating,Nova Classificação
Rating Name,Classificação Nome
Manage Ratings,Gerenciar classificações
Add New Rating,Adicionar Nova Classificação
Review Details,Detalhes da revisão
